# phMode         phFreq        naCouplingDelta          fittedDelta 
0.000000       2926543182690.850098       -0.000000000000000000000001961198         711.195724444971460798115003854036 
1.000000       3177734536556.566406       -0.000000000000000000000000410000         697.200845500231253026868216693401 
2.000000       3177747231156.376953       -0.000000000000000000000005516905         697.200102921230609354097396135330 
3.000000       3379327421131.818359       0.000000000000000000000000803449         685.026061663305313231830950826406 
4.000000       3379329659177.903809       0.000000000000000000000013152413         685.025922557442413562966976314783 
5.000000       4025488270158.275391       0.000000000000000000000002629803         642.210891983425653961603529751301 
6.000000       4025501978081.944824       -0.000000000000000000000001714902         642.209941008912096549465786665678 
7.000000       4044115502540.010254       0.000000000000000000000003224768         640.917455129189647777820937335491 
8.000000       4165645840980.009277       -0.000000000000000000000001892319         632.424442965835737595625687390566 
9.000000       4165647116600.011719       0.000000000000000000000000101208         632.424353365071738153346814215183 
10.000000       4253944115180.870605       0.000000000000000000000001006602         626.202105011819753599411342293024 
11.000000       4320803658208.606445       -0.000000000000000000000000392621         621.466233013194255363487172871828 
12.000000       4320816616816.513184       -0.000000000000000000000002032087         621.465313289751065894961357116699 
13.000000       4514178355954.694336       0.000000000000000000000000783386         607.676948629132880341785494238138 
14.000000       4583056323741.433594       -0.000000000000000000000001124574         602.740502108734517605626024305820 
15.000000       4910775307586.750977       -0.000000000000000000000003052739         579.167458093096001903177239000797 
16.000000       4910778767105.806641       -0.000000000000000000000002475818         579.167208990758808795362710952759 
17.000000       5003054263053.647461       0.000000000000000000000001948571         572.524550253229335794458165764809 
18.000000       5098955507963.838867       -0.000000000000000000000000927441         565.627405449153116023808252066374 
19.000000       5098957248304.918945       -0.000000000000000000000002652288         565.627280372861719115462619811296 
20.000000       5249519597414.460938       -0.000000000000000000000001518920         554.823031469673765059269499033689 
21.000000       5249521976328.370117       0.000000000000000000000001399200         554.822861063255572844354901462793 
22.000000       5336660781519.735352       -0.000000000000000000000001543638         548.588702093710026019834913313389 
23.000000       5353623247846.051758       0.000000000000000000000000958435         547.377096853446118984720669686794 
24.000000       5353624265000.500000       -0.000000000000000000000001747844         547.377024219720738074101973325014 
25.000000       5355182157844.492188       -0.000000000000000000000000750246         547.265779915981966041726991534233 
26.000000       5415591694292.227539       -0.000000000000000000000000212544         542.956707415104915526171680539846 
27.000000       5420373987468.264648       -0.000000000000000000000000734266         542.615977447263048816239461302757 
28.000000       5438013254593.782227       0.000000000000000000000001734962         541.359734305460960968048311769962 
29.000000       5438014938696.897461       -0.000000000000000000000000973072         541.359614405829120187263470143080 
30.000000       5465629001663.440430       0.000000000000000000000000828917         539.394675345450764325505588203669 
31.000000       5465630834184.793945       -0.000000000000000000000001044682         539.394545018467056252120528370142 
32.000000       5620390247031.072266       -0.000000000000000000000000560079         528.424065299295421027636621147394 
33.000000       5620391790282.454102       0.000000000000000000000000293007         528.423956281688674607721623033285 
34.000000       5751723324124.226562       0.000000000000000000000000155384         519.176660091049939182994421571493 
35.000000       5805873387574.795898       -0.000000000000000000000000769417         515.382394785826136285322718322277 
36.000000       5822908473470.678711       -0.000000000000000000000000547127         514.191117993027660304505843669176 
37.000000       5822911334612.671875       -0.000000000000000000000000400089         514.190918007791424315655604004860 
38.000000       5881009874266.794922       -0.000000000000000000000000533119         510.136816631498675178590929135680 
39.000000       5881011067084.583008       -0.000000000000000000000000085838         510.136733538703765589161776006222 
40.000000       5969010159483.928711       -0.000000000000000000000002091792         504.022983019616845012933481484652 
41.000000       5969013313766.944336       -0.000000000000000000000000338528         504.022764472031440163846127688885 
42.000000       6075162359889.110352       -0.000000000000000000000001077869         496.693269107427624931005993857980 
43.000000       6075164052021.613281       0.000000000000000000000001230226         496.693152675778947013895958662033 
44.000000       6079468040630.424805       -0.000000000000000000000000674187         496.397048328509868042601738125086 
45.000000       6154448418570.409180       0.000000000000000000000001417446         491.252535677912192113581113517284 
46.000000       6178531945135.460938       -0.000000000000000000000000728164         489.605825315637787298328476026654 
47.000000       6181450708534.291992       0.000000000000000000000002035909         489.406446037630360024195397272706 
48.000000       6234114385254.266602       0.000000000000000000000001145035         485.816195534984501591679872944951 
49.000000       6234117239514.526367       -0.000000000000000000000000981467         485.816001322558236097393091768026 
50.000000       6269507577811.733398       0.000000000000000000000000030503         483.411070393423642599373124539852 
51.000000       6374160946029.175781       -0.000000000000000000000000000683         476.336747300775812163919908925891 
52.000000       6398609557659.535156       0.000000000000000000000000990496         474.692283520057287660165457054973 
53.000000       6398610399014.652344       0.000000000000000000000001433029         474.692226983069247125968104228377 
54.000000       6436986080665.618164       0.000000000000000000000000427113         472.117389324371401926327962428331 
55.000000       6436986903370.764648       0.000000000000000000000000954984         472.117334208761064928694395348430 
56.000000       6482538595272.667969       0.000000000000000000000000415781         469.071269132376016841590171679854 
57.000000       6508359531944.828125       0.000000000000000000000001533101         467.349607717033279641327681019902 
58.000000       6508362038327.834961       -0.000000000000000000000000668481         467.349440775834239047981100156903 
59.000000       6575439535512.783203       0.000000000000000000000001123489         462.894049271834944647707743570209 
60.000000       6575440958149.304688       -0.000000000000000000000001315443         462.893955042756886086863232776523 
61.000000       6586788277535.185547       -0.000000000000000000000000146351         462.142719071128567520645447075367 
62.000000       6652272328751.462891       0.000000000000000000000002145238         457.821571999441289335663896054029 
63.000000       6652273909746.819336       0.000000000000000000000001350707         457.821467966117097603273577988148 
64.000000       6672817526780.521484       0.000000000000000000000001915767         456.470851417018593565444462001324 
65.000000       6672818034058.138672       0.000000000000000000000000364674         456.470818096391667495481669902802 
