# Temperature (K)   WidthCL(eV)   FreqShiftCL(eV)
1.000000     0.999900     1.500000
2.000000     0.999900     1.500000
10.000000     0.999900     1.500000
200.000000     0.999900     1.500000
300.000000     0.999900     1.500000
