# Temperature (K)   WidthQM_E17(eV)   FreqShiftQM_E17(eV)
1.000000     0.046800     2.277000
2.000000     0.046800     2.277000
10.000000     0.047000     2.277100
200.000000     0.098400     2.283800
300.000000     0.119900     2.284400
