# FQM_w,     FQM_I,     DCL_I,     ACL_I
-18.660000       -0.003622       0.003473       -0.002698
-18.650000       -0.003613       0.005869       -0.002690
-18.640000       -0.003604       0.007610       -0.002683
-18.630000       -0.003595       0.008541       -0.002675
-18.620000       -0.003586       0.008580       -0.002667
-18.610000       -0.003578       0.007723       -0.002659
-18.600000       -0.003569       0.006049       -0.002651
-18.590000       -0.003560       0.003707       -0.002643
-18.580000       -0.003551       0.000908       -0.002636
-18.570000       -0.003542       -0.002099       -0.002628
-18.560000       -0.003533       -0.005044       -0.002620
-18.550000       -0.003525       -0.007663       -0.002613
-18.540000       -0.003516       -0.009723       -0.002605
-18.530000       -0.003507       -0.011038       -0.002597
-18.520000       -0.003498       -0.011491       -0.002590
-18.510000       -0.003490       -0.011041       -0.002582
-18.500000       -0.003481       -0.009728       -0.002574
-18.490000       -0.003472       -0.007669       -0.002567
-18.480000       -0.003464       -0.005046       -0.002559
-18.470000       -0.003455       -0.002095       -0.002552
-18.460000       -0.003446       0.000921       -0.002544
-18.450000       -0.003438       0.003735       -0.002537
-18.440000       -0.003429       0.006095       -0.002529
-18.430000       -0.003421       0.007791       -0.002522
-18.420000       -0.003412       0.008671       -0.002514
-18.410000       -0.003403       0.008659       -0.002507
-18.400000       -0.003395       0.007755       -0.002499
-18.390000       -0.003386       0.006042       -0.002492
-18.380000       -0.003378       0.003672       -0.002484
-18.370000       -0.003370       0.000858       -0.002477
-18.360000       -0.003361       -0.002148       -0.002470
-18.350000       -0.003353       -0.005078       -0.002462
-18.340000       -0.003344       -0.007668       -0.002455
-18.330000       -0.003336       -0.009688       -0.002448
-18.320000       -0.003328       -0.010956       -0.002440
-18.310000       -0.003319       -0.011359       -0.002433
-18.300000       -0.003311       -0.010860       -0.002426
-18.290000       -0.003303       -0.009504       -0.002419
-18.280000       -0.003294       -0.007411       -0.002412
-18.270000       -0.003286       -0.004768       -0.002404
-18.260000       -0.003278       -0.001810       -0.002397
-18.250000       -0.003269       0.001198       -0.002390
-18.240000       -0.003261       0.003989       -0.002383
-18.230000       -0.003253       0.006314       -0.002376
-18.220000       -0.003245       0.007965       -0.002369
-18.210000       -0.003237       0.008796       -0.002362
-18.200000       -0.003229       0.008733       -0.002355
-18.190000       -0.003220       0.007782       -0.002348
-18.180000       -0.003212       0.006029       -0.002341
-18.170000       -0.003204       0.003630       -0.002334
-18.160000       -0.003196       0.000800       -0.002327
-18.150000       -0.003188       -0.002206       -0.002320
-18.140000       -0.003180       -0.005121       -0.002313
-18.130000       -0.003172       -0.007684       -0.002306
-18.120000       -0.003164       -0.009665       -0.002299
-18.110000       -0.003156       -0.010887       -0.002292
-18.100000       -0.003148       -0.011240       -0.002285
-18.090000       -0.003140       -0.010692       -0.002278
-18.080000       -0.003132       -0.009292       -0.002271
-18.070000       -0.003124       -0.007165       -0.002264
-18.060000       -0.003116       -0.004500       -0.002258
-18.050000       -0.003108       -0.001534       -0.002251
-18.040000       -0.003101       0.001467       -0.002244
-18.030000       -0.003093       0.004236       -0.002237
-18.020000       -0.003085       0.006527       -0.002231
-18.010000       -0.003077       0.008134       -0.002224
-18.000000       -0.003069       0.008916       -0.002217
-17.990000       -0.003061       0.008802       -0.002210
-17.980000       -0.003054       0.007804       -0.002204
-17.970000       -0.003046       0.006010       -0.002197
-17.960000       -0.003038       0.003581       -0.002191
-17.950000       -0.003031       0.000736       -0.002184
-17.940000       -0.003023       -0.002273       -0.002177
-17.930000       -0.003015       -0.005174       -0.002171
-17.920000       -0.003008       -0.007710       -0.002164
-17.910000       -0.003000       -0.009653       -0.002158
-17.900000       -0.002992       -0.010828       -0.002151
-17.890000       -0.002985       -0.011131       -0.002145
-17.880000       -0.002977       -0.010535       -0.002138
-17.870000       -0.002969       -0.009091       -0.002132
-17.860000       -0.002962       -0.006929       -0.002125
-17.850000       -0.002954       -0.004241       -0.002119
-17.840000       -0.002947       -0.001267       -0.002112
-17.830000       -0.002939       0.001728       -0.002106
-17.820000       -0.002932       0.004477       -0.002099
-17.810000       -0.002924       0.006734       -0.002093
-17.800000       -0.002917       0.008299       -0.002087
-17.790000       -0.002909       0.009031       -0.002080
-17.780000       -0.002902       0.008867       -0.002074
-17.770000       -0.002895       0.007820       -0.002068
-17.760000       -0.002887       0.005985       -0.002061
-17.750000       -0.002880       0.003527       -0.002055
-17.740000       -0.002872       0.000664       -0.002049
-17.730000       -0.002865       -0.002347       -0.002042
-17.720000       -0.002858       -0.005236       -0.002036
-17.710000       -0.002850       -0.007745       -0.002030
-17.700000       -0.002843       -0.009650       -0.002024
-17.690000       -0.002836       -0.010780       -0.002018
-17.680000       -0.002829       -0.011033       -0.002011
-17.670000       -0.002821       -0.010387       -0.002005
