# Temperature (K)   WidthCL(eV)   FreqShiftCL(eV)
1.000000     0.000620     2.187653
2.000000     0.000414     2.185379
10.000000     0.000414     2.185379
20.000000     0.024814     2.185379
200.000000     0.096775     2.185379
300.000000     0.118694     2.185379
