# Temperature (K)   WidthQM_E17(eV)   FreqShiftQM_E17(eV)
1.000000     0.002400     2.223100
2.000000     0.002400     2.223100
10.000000     0.002400     2.223100
200.000000     0.000700     2.209400
300.000000     0.000700     2.209400
