# time        F_Re_MC      F_Im_MC      F_Re_E17      F_Im_E17     F_CL
0.00000000000000000000       1.0000000000       0.0000000000       1.0000000000       0.0000000000     1.0000000000
0.00000000000000100000       0.9994711036       0.0000042113       0.9965669047       -0.0761373190     0.9999001735
0.00000000000000200000       0.9978865133       0.0000336303       0.9863088179       -0.1515665207     0.9996007870
0.00000000000000300000       0.9952525063       0.0001131663       0.9693485911       -0.2255900554     0.9991021188
0.00000000000000400000       0.9915794806       0.0002671355       0.9458885103       -0.2975312821     0.9984046322
0.00000000000000500000       0.9868818591       0.0005189761       0.9162066610       -0.3667443627     0.9975089746
0.00000000000000600000       0.9811779590       0.0008909758       0.8806519666       -0.4326235024     0.9964159757
0.00000000000000700000       0.9744898260       0.0014040163       0.8396380220       -0.4946113467     0.9951266460
0.00000000000000800000       0.9668430379       0.0020773389       0.7936358730       -0.5522063712     0.9936421747
0.00000000000000900000       0.9582664804       0.0029283327       0.7431659159       -0.6049691266     0.9919639268
0.00000000000001000000       0.9487920971       0.0039723506       0.6887891067       -0.6525272328     0.9900934406
0.00000000000001100000       0.9384546193       0.0052225524       0.6310976859       -0.6945790512     0.9880324241
0.00000000000001200000       0.9272912785       0.0066897797       0.5707056257       -0.7308959961     0.9857827515
0.00000000000001300000       0.9153415059       0.0083824608       0.5082390103       -0.7613234835     0.9833464594
0.00000000000001400000       0.9026466237       0.0103065480       0.4443265520       -0.7857805465     0.9807257422
0.00000000000001500000       0.8892495307       0.0124654871       0.3795904341       -0.8042581791     0.9779229478
0.00000000000001600000       0.8751943888       0.0148602176       0.3146376560       -0.8168164969     0.9749405728
0.00000000000001700000       0.8605263116       0.0174892034       0.2500520361       -0.8235808305     0.9717812571
0.00000000000001800000       0.8452910606       0.0203484917       0.1863870027       -0.8247368813     0.9684477788
0.00000000000001900000       0.8295347516       0.0234317996       0.1241592786       -0.8205250922     0.9649430484
0.00000000000002000000       0.8133035743       0.0267306242       0.0638435383       -0.8112343884     0.9612701029
0.00000000000002100000       0.7966435273       0.0302343751       0.0058680864       -0.7971954545     0.9574321004
0.00000000000002200000       0.7796001718       0.0339305261       -0.0493884176       -0.7787737108     0.9534323130
0.00000000000002300000       0.7622184045       0.0378047825       -0.1015991930       -0.7563621499     0.9492741211
0.00000000000002400000       0.7445422521       0.0418412624       -0.1504905555       -0.7303741843     0.9449610070
0.00000000000002500000       0.7266146869       0.0460226875       -0.1958421678       -0.7012366478     0.9404965476
0.00000000000002600000       0.7084774660       0.0503305811       -0.2374863903       -0.6693830754     0.9358844087
0.00000000000002700000       0.6901709923       0.0547454705       -0.2753068139       -0.6352473718     0.9311283375
0.00000000000002800000       0.6717341980       0.0592470904       -0.3092360691       -0.5992579612     0.9262321561
0.00000000000002900000       0.6532044503       0.0638145853       -0.3392530131       -0.5618324914     0.9211997547
0.00000000000003000000       0.6346174774       0.0684267081       -0.3653794027       -0.5233731452     0.9160350846
0.00000000000003100000       0.6160073151       0.0730620130       -0.3876761625       -0.4842625972     0.9107421518
0.00000000000003200000       0.5974062713       0.0776990402       -0.4062393538       -0.4448606312     0.9053250096
0.00000000000003300000       0.5788449082       0.0823164911       -0.4211959503       -0.4055014228     0.8997877523
