# Temperature (K)   WidthQM_E17(eV)   FreqShiftQM_E17(eV)
1.000000     0.000500     2.213800
2.000000     0.000500     2.213800
10.000000     0.000500     2.213800
200.000000     0.002900     2.213800
300.000000     0.045300     2.214500
