# Temperature (K)   WidthCL(eV)   FreqShiftCL(eV)
1.000000     0.000620     2.176280
2.000000     0.000620     2.176280
10.000000     0.000620     2.176280
200.000000     0.003102     2.194477
300.000000     0.046319     2.176280
