# Time    F_t_Re (Classical)      F_t_Im (Classical)       F_t_Re_erf       F_t_Im_erf  
0.00000000000000000000        1.000000        0.000000         1.000000         0.000000     
0.00000000000000100000        0.998005        0.000000         0.998005         0.000000     
0.00000000000000200000        0.992046        0.000000         0.992046         0.000000     
0.00000000000000300000        0.982195        0.000000         0.982195         0.000000     
0.00000000000000400000        0.968572        0.000000         0.968572         0.000000     
0.00000000000000500000        0.951341        0.000000         0.951341         0.000000     
0.00000000000000600000        0.930708        0.000000         0.930708         0.000000     
0.00000000000000700000        0.906916        0.000000         0.906916         0.000000     
0.00000000000000800000        0.880238        0.000000         0.880238         0.000000     
0.00000000000000900000        0.850977        0.000000         0.850977         0.000000     
0.00000000000001000000        0.819452        0.000000         0.819452         0.000000     
0.00000000000001100000        0.786003        0.000000         0.786003         0.000000     
0.00000000000001200000        0.750973        0.000000         0.750973         0.000000     
0.00000000000001300000        0.714712        0.000000         0.714712         0.000000     
0.00000000000001400000        0.677566        0.000000         0.677566         0.000000     
0.00000000000001500000        0.639871        0.000000         0.639871         0.000000     
0.00000000000001600000        0.601953        0.000000         0.601953         0.000000     
0.00000000000001700000        0.564119        0.000000         0.564119         0.000000     
0.00000000000001800000        0.526652        0.000000         0.526652         0.000000     
0.00000000000001900000        0.489817        0.000000         0.489817         0.000000     
0.00000000000002000000        0.453846        0.000000         0.453846         0.000000     
0.00000000000002100000        0.418948        0.000000         0.418948         0.000000     
0.00000000000002200000        0.385299        0.000000         0.385299         0.000000     
0.00000000000002300000        0.353047        0.000000         0.353047         0.000000     
0.00000000000002400000        0.322313        0.000000         0.322313         0.000000     
0.00000000000002500000        0.293187        0.000000         0.293187         0.000000     
0.00000000000002600000        0.265732        0.000000         0.265732         0.000000     
0.00000000000002700000        0.239989        0.000000         0.239989         0.000000     
0.00000000000002800000        0.215972        0.000000         0.215972         0.000000     
0.00000000000002900000        0.193676        0.000000         0.193676         0.000000     
0.00000000000003000000        0.173078        0.000000         0.173078         0.000000     
0.00000000000003100000        0.154138        0.000000         0.154138         0.000000     
0.00000000000003200000        0.136801        0.000000         0.136801         0.000000     
0.00000000000003300000        0.121005        0.000000         0.121005         0.000000     
0.00000000000003400000        0.106674        0.000000         0.106674         0.000000     
0.00000000000003500000        0.093729        0.000000         0.093729         0.000000     
0.00000000000003600000        0.082085        0.000000         0.082085         0.000000     
0.00000000000003700000        0.071654        0.000000         0.071654         0.000000     
0.00000000000003800000        0.062349        0.000000         0.062349         0.000000     
0.00000000000003900000        0.054080        0.000000         0.054080         0.000000     
0.00000000000004000000        0.046761        0.000000         0.046761         0.000000     
0.00000000000004100000        0.040307        0.000000         0.040307         0.000000     
0.00000000000004200000        0.034637        0.000000         0.034637         0.000000     
0.00000000000004300000        0.029676        0.000000         0.029676         0.000000     
0.00000000000004400000        0.025349        0.000000         0.025349         0.000000     
0.00000000000004500000        0.021589        0.000000         0.021589         0.000000     
0.00000000000004600000        0.018333        0.000000         0.018333         0.000000     
0.00000000000004700000        0.015524        0.000000         0.015524         0.000000     
0.00000000000004800000        0.013108        0.000000         0.013108         0.000000     
0.00000000000004900000        0.011037        0.000000         0.011037         0.000000     
0.00000000000005000000        0.009267        0.000000         0.009267         0.000000     
