# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-16.620000       0.003867       -0.001119 
-16.600000       0.001790       -0.001111 
-16.580000       -0.002961       -0.001104 
-16.560000       -0.006011       -0.001096 
-16.540000       -0.004543       -0.001088 
-16.520000       0.000107       -0.001079 
-16.500000       0.003674       -0.001071 
-16.480000       0.002880       -0.001063 
-16.460000       -0.001544       -0.001056 
-16.440000       -0.005527       -0.001049 
-16.420000       -0.005395       -0.001041 
-16.400000       -0.001256       -0.001033 
-16.380000       0.003096       -0.001025 
-16.360000       0.003663       -0.001017 
-16.340000       -0.000076       -0.001010 
-16.320000       -0.004682       -0.001003 
-16.300000       -0.005911       -0.000996 
-16.280000       -0.002619       -0.000988 
-16.260000       0.002180       -0.000981 
-16.240000       0.004078       -0.000973 
-16.220000       0.001331       -0.000966 
-16.200000       -0.003535       -0.000960 
-16.180000       -0.006041       -0.000953 
-16.160000       -0.003868       -0.000946 
-16.140000       0.000998       -0.000938 
-16.120000       0.004091       -0.000931 
-16.100000       0.002568       -0.000924 
-16.080000       -0.002172       -0.000918 
-16.060000       -0.005767       -0.000912 
-16.040000       -0.004900       -0.000905 
-16.020000       -0.000354       -0.000898 
-16.000000       0.003700       -0.000891 
-15.980000       0.003537       -0.000884 
-15.960000       -0.000695       -0.000878 
-15.940000       -0.005104       -0.000872 
-15.920000       -0.005626       -0.000866 
-15.900000       -0.001767       -0.000859 
-15.880000       0.002935       -0.000852 
-15.860000       0.004161       -0.000845 
-15.840000       0.000782       -0.000839 
-15.820000       -0.004096       -0.000834 
-15.800000       -0.005981       -0.000828 
-15.780000       -0.003127       -0.000821 
-15.760000       0.001855       -0.000815 
-15.740000       0.004390       -0.000808 
-15.720000       0.002145       -0.000803 
-15.700000       -0.002818       -0.000797 
-15.680000       -0.005930       -0.000792 
-15.660000       -0.004319       -0.000786 
-15.640000       0.000547       -0.000779 
-15.620000       0.004203       -0.000773 
-15.600000       0.003286       -0.000767 
-15.580000       -0.001363       -0.000762 
-15.560000       -0.005469       -0.000757 
-15.540000       -0.005246       -0.000751 
-15.520000       -0.000885       -0.000745 
-15.500000       0.003613       -0.000739 
-15.480000       0.004115       -0.000733 
-15.460000       0.000155       -0.000728 
-15.440000       -0.004626       -0.000723 
-15.420000       -0.005825       -0.000718 
-15.400000       -0.002326       -0.000712 
-15.380000       0.002666       -0.000707 
-15.360000       0.004564       -0.000701 
-15.340000       0.001620       -0.000696 
-15.320000       -0.003463       -0.000691 
-15.300000       -0.006005       -0.000686 
-15.280000       -0.003657       -0.000681 
-15.260000       0.001435       -0.000675 
-15.240000       0.004595       -0.000670 
-15.220000       0.002916       -0.000665 
-15.200000       -0.002064       -0.000661 
-15.180000       -0.005762       -0.000656 
-15.160000       -0.004769       -0.000651 
-15.140000       0.000017       -0.000646 
-15.120000       0.004203       -0.000640 
-15.100000       0.003940       -0.000636 
-15.080000       -0.000536       -0.000631 
-15.060000       -0.005109       -0.000627 
-15.040000       -0.005567       -0.000622 
-15.020000       -0.001474       -0.000617 
-15.000000       0.003416       -0.000612 
-14.980000       0.004610       -0.000607 
-14.960000       0.001003       -0.000603 
-14.940000       -0.004090       -0.000599 
-14.920000       -0.005981       -0.000595 
-14.900000       -0.002918       -0.000590 
-14.880000       0.002295       -0.000585 
-14.860000       0.004869       -0.000580 
-14.840000       0.002432       -0.000576 
-14.820000       -0.002778       -0.000572 
-14.800000       -0.005970       -0.000568 
-14.780000       -0.004196       -0.000564 
-14.760000       0.000926       -0.000559 
-14.740000       0.004693       -0.000554 
-14.720000       0.003639       -0.000550 
-14.700000       -0.001274       -0.000546 
-14.680000       -0.005528       -0.000543 
-14.660000       -0.005203       -0.000539 
-14.640000       -0.000583       -0.000534 
-14.620000       0.004092       -0.000529 
-14.600000       0.004524       -0.000525 
-14.580000       0.000308       -0.000522 
-14.560000       -0.004681       -0.000518 
-14.540000       -0.005851       -0.000515 
-14.520000       -0.002110       -0.000510 
-14.500000       0.003112       -0.000506 
-14.480000       0.005016       -0.000502 
-14.460000       0.001845       -0.000498 
-14.440000       -0.003490       -0.000495 
-14.420000       -0.006081       -0.000491 
-14.400000       -0.003532       -0.000487 
-14.380000       0.001826       -0.000483 
-14.360000       0.005071       -0.000479 
-14.340000       0.003215       -0.000476 
-14.320000       -0.002043       -0.000473 
-14.300000       -0.005868       -0.000469 
-14.280000       -0.004732       -0.000466 
-14.260000       0.000335       -0.000462 
-14.240000       0.004681       -0.000458 
-14.220000       0.004307       -0.000454 
-14.200000       -0.000451       -0.000451 
-14.180000       -0.005220       -0.000448 
-14.160000       -0.005608       -0.000445 
-14.140000       -0.001243       -0.000441 
-14.120000       0.003871       -0.000437 
-14.100000       0.005032       -0.000433 
-14.080000       0.001164       -0.000430 
-14.060000       -0.004181       -0.000428 
-14.040000       -0.006084       -0.000425 
-14.020000       -0.002782       -0.000421 
-14.000000       0.002703       -0.000417 
-13.980000       0.005329       -0.000414 
-13.960000       0.002675       -0.000411 
-13.940000       -0.002827       -0.000408 
-13.920000       -0.006115       -0.000405 
-13.900000       -0.004155       -0.000402 
-13.880000       0.001265       -0.000398 
-13.860000       0.005168       -0.000395 
-13.840000       0.003959       -0.000392 
-13.820000       -0.001259       -0.000389 
-13.800000       -0.005689       -0.000387 
-13.780000       -0.005250       -0.000384 
-13.760000       -0.000329       -0.000380 
-13.740000       0.004557       -0.000377 
-13.720000       0.004913       -0.000374 
-13.700000       0.000402       -0.000372 
-13.680000       -0.004833       -0.000369 
-13.660000       -0.005972       -0.000367 
-13.640000       -0.001953       -0.000363 
-13.620000       0.003540       -0.000360 
-13.600000       0.005457       -0.000357 
-13.580000       0.002026       -0.000354 
-13.560000       -0.003605       -0.000352 
-13.540000       -0.006257       -0.000350 
-13.520000       -0.003477       -0.000347 
-13.500000       0.002192       -0.000344 
-13.480000       0.005542       -0.000341 
-13.460000       0.003484       -0.000338 
-13.440000       -0.002098       -0.000336 
-13.420000       -0.006073       -0.000334 
-13.400000       -0.004774       -0.000331 
-13.380000       0.000619       -0.000328 
-13.360000       0.005155       -0.000325 
-13.340000       0.004658       -0.000322 
-13.320000       -0.000426       -0.000320 
-13.300000       -0.005426       -0.000318 
-13.280000       -0.005737       -0.000316 
-13.260000       -0.001057       -0.000313 
-13.240000       0.004321       -0.000310 
-13.220000       0.005450       -0.000307 
-13.200000       0.001281       -0.000305 
-13.180000       -0.004360       -0.000304 
-13.160000       -0.006282       -0.000302 
-13.140000       -0.002702       -0.000299 
-13.120000       0.003100       -0.000296 
-13.100000       0.005792       -0.000293 
-13.080000       0.002888       -0.000291 
-13.060000       -0.002951       -0.000290 
-13.040000       -0.006356       -0.000288 
-13.020000       -0.004182       -0.000285 
-13.000000       0.001586       -0.000282 
-12.980000       0.005650       -0.000280 
-12.960000       0.004266       -0.000278 
-12.940000       -0.001306       -0.000276 
-12.920000       -0.005945       -0.000274 
-12.900000       -0.005376       -0.000272 
-12.880000       -0.000106       -0.000270 
-12.860000       0.005029       -0.000267 
-12.840000       0.005302       -0.000265 
-12.820000       0.000450       -0.000263 
-12.800000       -0.005072       -0.000262 
-12.780000       -0.006181       -0.000260 
-12.760000       -0.001840       -0.000257 
-12.740000       0.003971       -0.000255 
-12.720000       0.005908       -0.000252 
-12.700000       0.002178       -0.000251 
-12.680000       -0.003799       -0.000249 
-12.660000       -0.006525       -0.000248 
-12.640000       -0.003478       -0.000245 
-12.620000       0.002554       -0.000243 
-12.600000       0.006029       -0.000241 
-12.580000       0.003740       -0.000239 
-12.560000       -0.002219       -0.000238 
-12.540000       -0.006371       -0.000236 
-12.520000       -0.004886       -0.000234 
-12.500000       0.000887       -0.000232 
-12.480000       0.005647       -0.000229 
-12.460000       0.005010       -0.000228 
-12.440000       -0.000452       -0.000226 
-12.420000       -0.005723       -0.000225 
-12.400000       -0.005947       -0.000223 
-12.380000       -0.000901       -0.000221 
-12.360000       0.004786       -0.000219 
-12.340000       0.005882       -0.000217 
-12.320000       0.001364       -0.000216 
-12.300000       -0.004621       -0.000215 
-12.280000       -0.006567       -0.000213 
-12.260000       -0.002667       -0.000211 
-12.240000       0.003507       -0.000209 
-12.220000       0.006278       -0.000207 
-12.200000       0.003086       -0.000205 
-12.180000       -0.003147       -0.000204 
-12.160000       -0.006689       -0.000203 
-12.140000       -0.004269       -0.000201 
-12.120000       0.001904       -0.000199 
-12.100000       0.006160       -0.000197 
-12.080000       0.004575       -0.000196 
-12.060000       -0.001408       -0.000195 
-12.040000       -0.006292       -0.000194 
-12.020000       -0.005575       -0.000192 
-12.000000       0.000102       -0.000190 
-11.980000       0.005528       -0.000188 
-11.960000       0.005708       -0.000186 
-11.940000       0.000460       -0.000185 
-11.920000       -0.005399       -0.000184 
-11.900000       -0.006473       -0.000183 
-11.880000       -0.001758       -0.000181 
-11.860000       0.004424       -0.000179 
-11.840000       0.006387       -0.000177 
-11.820000       0.002311       -0.000176 
-11.800000       -0.004069       -0.000176 
-11.780000       -0.006884       -0.000174 
-11.760000       -0.003528       -0.000173 
-11.740000       0.002928       -0.000171 
-11.720000       0.006552       -0.000169 
-11.700000       0.003997       -0.000168 
-11.680000       -0.002401       -0.000167 
-11.660000       -0.006763       -0.000166 
-11.640000       -0.005064       -0.000165 
-11.620000       0.001154       -0.000163 
-11.600000       0.006179       -0.000161 
-11.580000       0.005382       -0.000160 
-11.560000       -0.000522       -0.000159 
-11.540000       -0.006110       -0.000158 
-11.520000       -0.006235       -0.000157 
-11.500000       -0.000763       -0.000155 
-11.480000       0.005288       -0.000153 
-11.460000       0.006347       -0.000152 
-11.440000       0.001424       -0.000151 
-11.420000       -0.004966       -0.000151 
-11.400000       -0.006942       -0.000150 
-11.380000       -0.002669       -0.000148 
-11.360000       0.003941       -0.000146 
-11.340000       0.006809       -0.000145 
-11.320000       0.003282       -0.000144 
-11.300000       -0.003412       -0.000143 
-11.280000       -0.007118       -0.000143 
-11.260000       -0.004412       -0.000141 
-11.240000       0.002237       -0.000139 
-11.220000       0.006720       -0.000138 
-11.200000       0.004902       -0.000137 
-11.180000       -0.001563       -0.000136 
-11.160000       -0.006736       -0.000136 
-11.140000       -0.005847       -0.000135 
-11.120000       0.000306       -0.000133 
-11.100000       0.006077       -0.000131 
-11.080000       0.006149       -0.000130 
-11.060000       0.000438       -0.000130 
-11.040000       -0.005815       -0.000129 
-11.020000       -0.006853       -0.000128 
-11.000000       -0.001700       -0.000127 
-10.980000       0.004920       -0.000125 
-10.960000       0.006917       -0.000124 
-10.940000       0.002435       -0.000123 
-10.920000       -0.004418       -0.000123 
-10.900000       -0.007340       -0.000122 
-10.880000       -0.003623       -0.000121 
-10.860000       0.003333       -0.000119 
-10.840000       0.007134       -0.000118 
-10.820000       0.004269       -0.000117 
-10.800000       -0.002646       -0.000117 
-10.780000       -0.007256       -0.000116 
-10.760000       -0.005306       -0.000115 
-10.740000       0.001433       -0.000114 
-10.720000       0.006771       -0.000112 
-10.700000       0.005788       -0.000111 
-10.680000       -0.000632       -0.000111 
-10.660000       -0.006596       -0.000111 
-10.640000       -0.006607       -0.000110 
-10.620000       -0.000633       -0.000108 
-10.600000       0.005846       -0.000107 
-10.580000       0.006866       -0.000106 
-10.560000       0.001467       -0.000105 
-10.540000       -0.005400       -0.000105 
-10.520000       -0.007415       -0.000105 
-10.500000       -0.002703       -0.000103 
-10.480000       0.004421       -0.000102 
-10.460000       0.007405       -0.000100 
-10.440000       0.003486       -0.000100 
-10.420000       -0.003751       -0.000100 
-10.400000       -0.007652       -0.000100 
-10.380000       -0.004610       -0.000098 
-10.360000       0.002599       -0.000097 
-10.340000       0.007352       -0.000095 
-10.320000       0.005262       -0.000095 
-10.300000       -0.001771       -0.000095 
-10.280000       -0.007286       -0.000095 
-10.260000       -0.006197       -0.000094 
-10.240000       0.000519       -0.000092 
-10.220000       0.006697       -0.000091 
-10.200000       0.006646       -0.000090 
-10.180000       0.000389       -0.000090 
-10.160000       -0.006333       -0.000090 
-10.140000       -0.007329       -0.000089 
-10.120000       -0.001659       -0.000088 
-10.100000       0.005480       -0.000086 
-10.080000       0.007519       -0.000085 
-10.060000       0.002560       -0.000085 
-10.040000       -0.004855       -0.000085 
-10.020000       -0.007904       -0.000085 
-10.000000       -0.003761       -0.000084 
-9.980000       0.003786       -0.000082 
-9.960000       0.007799       -0.000081 
-9.940000       0.004568       -0.000081 
-9.920000       -0.002958       -0.000081 
-9.900000       -0.007863       -0.000081 
-9.880000       -0.005617       -0.000080 
-9.860000       0.001740       -0.000078 
-9.840000       0.007451       -0.000077 
-9.820000       0.006250       -0.000076 
-9.800000       -0.000785       -0.000076 
-9.780000       -0.007195       -0.000076 
-9.760000       -0.007072       -0.000076 
-9.740000       -0.000503       -0.000075 
-9.720000       0.006487       -0.000073 
-9.700000       0.007461       -0.000072 
-9.680000       0.001498       -0.000072 
-9.660000       -0.005936       -0.000072 
-9.640000       -0.007998       -0.000072 
-9.620000       -0.002765       -0.000071 
-9.600000       0.004971       -0.000069 
-9.580000       0.008095       -0.000068 
-9.560000       0.003710       -0.000068 
-9.540000       -0.004174       -0.000068 
-9.520000       -0.008308       -0.000068 
-9.500000       -0.004867       -0.000067 
-9.480000       0.003010       -0.000066 
-9.460000       0.008086       -0.000065 
-9.440000       0.005672       -0.000064 
-9.420000       -0.002037       -0.000065 
-9.400000       -0.007961       -0.000065 
-9.380000       -0.006634       -0.000064 
-9.360000       0.000752       -0.000063 
-9.340000       0.007419       -0.000061 
-9.320000       0.007221       -0.000061 
-9.300000       0.000313       -0.000061 
-9.280000       -0.006969       -0.000061 
-9.260000       -0.007916       -0.000061 
-9.240000       -0.001629       -0.000059 
-9.220000       0.006131       -0.000058 
-9.200000       0.008222       -0.000057 
-9.180000       0.002692       -0.000057 
-9.160000       -0.005394       -0.000058 
-9.140000       -0.008598       -0.000057 
-9.120000       -0.003945       -0.000056 
-9.100000       0.004311       -0.000055 
-9.080000       0.008580       -0.000054 
-9.060000       0.004912       -0.000054 
-9.040000       -0.003348       -0.000054 
-9.020000       -0.008609       -0.000054 
-9.000000       -0.006009       -0.000053 
-8.980000       0.002090       -0.000052 
-8.960000       0.008251       -0.000051 
-8.940000       0.006789       -0.000050 
-8.920000       -0.000982       -0.000051 
-8.900000       -0.007929       -0.000051 
-8.880000       -0.007647       -0.000050 
-8.860000       -0.000362       -0.000049 
-8.840000       0.007243       -0.000048 
-8.820000       0.008164       -0.000047 
-8.800000       0.001522       -0.000047 
-8.780000       -0.006596       -0.000047 
-8.760000       -0.008715       -0.000047 
-8.740000       -0.002856       -0.000046 
-8.720000       0.005619       -0.000045 
-8.700000       0.008914       -0.000044 
-8.680000       0.003968       -0.000044 
-8.660000       -0.004697       -0.000044 
-8.640000       -0.009114       -0.000044 
-8.620000       -0.005192       -0.000043 
-8.600000       0.003493       -0.000042 
-8.580000       0.008960       -0.000041 
-8.560000       0.006157       -0.000040 
-8.540000       -0.002370       -0.000041 
-8.520000       -0.008790       -0.000041 
-8.500000       -0.007177       -0.000040 
-8.480000       0.001022       -0.000039 
-8.460000       0.008281       -0.000038 
-8.440000       0.007908       -0.000037 
-8.420000       0.000210       -0.000037 
-8.400000       -0.007751       -0.000038 
-8.380000       -0.008641       -0.000037 
-8.360000       -0.001605       -0.000036 
-8.340000       0.006911       -0.000035 
