# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-16.600000       0.005457       -0.000357 
-16.580000       0.002029       -0.000355 
-16.560000       -0.003603       -0.000352 
-16.540000       -0.006257       -0.000349 
-16.520000       -0.003479       -0.000346 
-16.500000       0.002190       -0.000344 
-16.480000       0.005541       -0.000341 
-16.460000       0.003486       -0.000338 
-16.440000       -0.002095       -0.000336 
-16.420000       -0.006072       -0.000333 
-16.400000       -0.004776       -0.000331 
-16.380000       0.000616       -0.000328 
-16.360000       0.005154       -0.000325 
-16.340000       0.004659       -0.000323 
-16.320000       -0.000423       -0.000320 
-16.300000       -0.005425       -0.000318 
-16.280000       -0.005738       -0.000315 
-16.260000       -0.001060       -0.000313 
-16.240000       0.004319       -0.000310 
-16.220000       0.005450       -0.000308 
-16.200000       0.001284       -0.000306 
-16.180000       -0.004358       -0.000303 
-16.160000       -0.006282       -0.000301 
-16.140000       -0.002705       -0.000298 
-16.120000       0.003098       -0.000296 
-16.100000       0.005792       -0.000294 
-16.080000       0.002890       -0.000292 
-16.060000       -0.002949       -0.000289 
-16.040000       -0.006355       -0.000287 
-16.020000       -0.004185       -0.000285 
-16.000000       0.001583       -0.000282 
-15.980000       0.005649       -0.000280 
-15.960000       0.004268       -0.000278 
-15.940000       -0.001303       -0.000276 
-15.920000       -0.005944       -0.000274 
-15.900000       -0.005377       -0.000272 
-15.880000       -0.000109       -0.000269 
-15.860000       0.005027       -0.000267 
-15.840000       0.005303       -0.000265 
-15.820000       0.000453       -0.000263 
-15.800000       -0.005070       -0.000261 
-15.780000       -0.006181       -0.000259 
-15.760000       -0.001843       -0.000257 
-15.740000       0.003969       -0.000255 
-15.720000       0.005908       -0.000253 
-15.700000       0.002181       -0.000251 
-15.680000       -0.003796       -0.000249 
-15.660000       -0.006525       -0.000247 
-15.640000       -0.003481       -0.000245 
-15.620000       0.002551       -0.000243 
-15.600000       0.006028       -0.000241 
-15.580000       0.003743       -0.000239 
-15.560000       -0.002216       -0.000237 
-15.540000       -0.006370       -0.000235 
-15.520000       -0.004888       -0.000234 
-15.500000       0.000884       -0.000232 
-15.480000       0.005646       -0.000230 
-15.460000       0.005012       -0.000228 
-15.440000       -0.000449       -0.000226 
-15.420000       -0.005721       -0.000224 
-15.400000       -0.005948       -0.000223 
-15.380000       -0.000904       -0.000221 
-15.360000       0.004784       -0.000219 
-15.340000       0.005883       -0.000217 
-15.320000       0.001367       -0.000216 
-15.300000       -0.004619       -0.000214 
-15.280000       -0.006568       -0.000212 
-15.260000       -0.002670       -0.000211 
-15.240000       0.003504       -0.000209 
-15.220000       0.006278       -0.000207 
-15.200000       0.003089       -0.000206 
-15.180000       -0.003144       -0.000204 
-15.160000       -0.006689       -0.000202 
-15.140000       -0.004272       -0.000201 
-15.120000       0.001901       -0.000199 
