# time        F_Re_MC      F_Im_MC      F_Re_E17      F_Im_E17 
0.00000000000000000000       1.0000000000       0.0000000000       1.0000000000       0.0000000000
0.00000000000001000000       0.9717212823       0.0016912547       0.8602057490       -0.4519858186
0.00000000000002000000       0.8927459892       0.0122620798       0.5140076664       -0.7300286835
0.00000000000003000000       0.7779545902       0.0352806396       0.1237011813       -0.7688667541
0.00000000000004000000       0.6452101400       0.0674377114       -0.1712765843       -0.6257062420
0.00000000000005000000       0.5100198539       0.1010727677       -0.3192850585       -0.4103571703
0.00000000000006000000       0.3832156988       0.1282040386       -0.3442351706       -0.2116428468
0.00000000000007000000       0.2712202767       0.1434599911       -0.2987862726       -0.0697708451
0.00000000000008000000       0.1772951153       0.1450442414       -0.2286945410       0.0130459499
0.00000000000009000000       0.1026256876       0.1342415688       -0.1609160045       0.0515642321
0.00000000000010000000       0.0469380547       0.1143048277       -0.1064533289       0.0627412415
0.00000000000011000000       0.0088065434       0.0893064348       -0.0670656422       0.0596271259
0.00000000000012000000       -0.0141201760       0.0632178313       -0.0405566796       0.0505077153
0.00000000000013000000       -0.0248467544       0.0392883338       -0.0237080248       0.0399857967
0.00000000000014000000       -0.0266916794       0.0197133015       -0.0135425480       0.0302928936
0.00000000000015000000       -0.0229220929       0.0055515794       -0.0077180391       0.0222861897
0.00000000000016000000       -0.0164239414       -0.0031617247       -0.0045522978       0.0160940653
0.00000000000017000000       -0.0094605036       -0.0071699717       -0.0029192267       0.0115059870
0.00000000000018000000       -0.0035504088       -0.0076838656       -0.0021135682       0.0081963420
0.00000000000019000000       0.0005298300       -0.0060676132       -0.0017228215       0.0058419634
0.00000000000020000000       0.0026372907       -0.0035741597       -0.0015224328       0.0041727831
0.00000000000021000000       0.0030833080       -0.0011637208       -0.0013992926       0.0029837920
0.00000000000022000000       0.0024260881       0.0005807157       -0.0013013945       0.0021282638
0.00000000000023000000       0.0012763430       0.0014469835       -0.0012077014       0.0015047492
0.00000000000024000000       0.0001476901       0.0015179888       -0.0011115902       0.0010442555
0.00000000000025000000       -0.0006305051       0.0010571310       -0.0010124510       0.0007000041
0.00000000000026000000       -0.0009355140       0.0003869836       -0.0009117489       0.0004400644
0.00000000000027000000       -0.0008198747       -0.0002117183       -0.0008113457       0.0002423578
0.00000000000028000000       -0.0004461723       -0.0005634500       -0.0007128793       0.0000913715
0.00000000000029000000       -0.0000110910       -0.0006179643       -0.0006175986       -0.0000239758
0.00000000000030000000       0.0003204562       -0.0004322680       -0.0005263702       -0.0001117238
0.00000000000031000000       0.0004568451       -0.0001275515       -0.0004397366       -0.0001777881
0.00000000000032000000       0.0003913092       0.0001623796       -0.0003579819       -0.0002265811
0.00000000000033000000       0.0001864991       0.0003356171       -0.0002811934       -0.0002614403
0.00000000000034000000       -0.0000586029       0.0003486600       -0.0002093171       -0.0002849289
0.00000000000035000000       -0.0002469681       0.0002205862       -0.0001422064       -0.0002990465
0.00000000000036000000       -0.0003151227       0.0000172873       -0.0000796645       -0.0003053764
0.00000000000037000000       -0.0002497681       -0.0001766775       -0.0000214780       -0.0003051848
0.00000000000038000000       -0.0000864502       -0.0002885813       0.0000325586       -0.0002994874
0.00000000000039000000       0.0001072040       -0.0002809057       0.0000826274       -0.0002890907
0.00000000000040000000       0.0002569758       -0.0001612102       0.0001288839       -0.0002746165
0.00000000000041000000       0.0003076644       0.0000233251       0.0001714639       -0.0002565182
0.00000000000042000000       0.0002409007       0.0002038324       0.0002105017       -0.0002350954
0.00000000000043000000       0.0000801336       0.0003138253       0.0002461534       -0.0002105141
0.00000000000044000000       -0.0001181157       0.0003116179       0.0002786187       -0.0001828350
0.00000000000045000000       -0.0002834903       0.0001941917       0.0003081533       -0.0001520484
0.00000000000046000000       -0.0003552732       -0.0000015712       0.0003350703       -0.0001181075
0.00000000000047000000       -0.0003027567       -0.0002104719       0.0003597310       -0.0000809548
0.00000000000048000000       -0.0001362313       -0.0003597440       0.0003825328       -0.0000405380
0.00000000000049000000       0.0000948274       -0.0003926244       0.0004039011       0.0000031806
0.00000000000050000000       0.0003159838       -0.0002875642       0.0004242843       0.0000502176
0.00000000000051000000       0.0004504158       -0.0000671423       0.0004441519       0.0001005559
0.00000000000052000000       0.0004432551       0.0002063098       0.0004639864       0.0001541279
0.00000000000053000000       0.0002804569       0.0004475367       0.0004842620       0.0002107973
0.00000000000054000000       -0.0000036479       0.0005731608       0.0005054076       0.0002703512
0.00000000000055000000       -0.0003328883       0.0005275239       0.0005277589       0.0003325155
0.00000000000056000000       -0.0006087157       0.0003020709       0.0005515149       0.0003970049
0.00000000000057000000       -0.0007377060       -0.0000577053       0.0005767238       0.0004636051
0.00000000000058000000       -0.0006597176       -0.0004605173       0.0006033191       0.0005322683
0.00000000000059000000       -0.0003687637       -0.0007913817       0.0006312144       0.0006031915
0.00000000000060000000       0.0000797510       -0.0009423047       0.0006604425       0.0006768413
0.00000000000061000000       0.0005783968       -0.0008436453       0.0006913065       0.0007539068
0.00000000000062000000       0.0009923132       -0.0004875957       0.0007245062       0.0008351801
0.00000000000063000000       0.0011934806       0.0000631680       0.0007612091       0.0009213831
0.00000000000064000000       0.0010961908       0.0006850924       0.0008030494       0.0010129648
0.00000000000065000000       0.0006844007       0.0012204291       0.0008520467       0.0011098955
0.00000000000066000000       0.0000231817       0.0015152752       0.0009104382       0.0012114861
0.00000000000067000000       -0.0007498899       0.0014599539       0.0009804263       0.0013162691
0.00000000000068000000       -0.0014526815       0.0010215517       0.0010638605       0.0014219888
0.00000000000069000000       -0.0019001149       0.0002597825       0.0011619065       0.0015257447
0.00000000000070000000       -0.0019499765       -0.0006790013       0.0012747899       0.0016243035
0.00000000000071000000       -0.0015418449       -0.0015897005       0.0014017147       0.0017145347
0.00000000000072000000       -0.0007190969       -0.0022529069       0.0015410263       0.0017938584
0.00000000000073000000       0.0003724903       -0.0024861741       0.0016906053       0.0018605548
0.00000000000074000000       0.0015107039       -0.0021902003       0.0018483858       0.0019138112
0.00000000000075000000       0.0024427452       -0.0013785848       0.0020128263       0.0019534663
0.00000000000076000000       0.0029412884       -0.0001831447       0.0021831669       0.0019795206
0.00000000000077000000       0.0028581717       0.0011678283       0.0023593751       0.0019915616
0.00000000000078000000       0.0021631010       0.0023947532       0.0025417719       0.0019882767
0.00000000000079000000       0.0009576790       0.0032261311       0.0027304161       0.0019672060
0.00000000000080000000       -0.0005396160       0.0034591603       0.0029243779       0.0019248348
0.00000000000081000000       -0.0020353490       0.0030078496       0.0031210738       0.0018570684
0.00000000000082000000       -0.0032215467       0.0019272443       0.0033158482       0.0017600525
0.00000000000083000000       -0.0038417092       0.0004074331       0.0035019826       0.0016312110
0.00000000000084000000       -0.0037478321       -0.0012623291       0.0036712436       0.0014702691
0.00000000000085000000       -0.0029354763       -0.0027522876       0.0038149446       0.0012799631
0.00000000000086000000       -0.0015485306       -0.0037612340       0.0039253169       0.0010661689
0.00000000000087000000       0.0001480747       -0.0040809160       0.0039968345       0.0008373264
0.00000000000088000000       0.0018223124       -0.0036415320       0.0040271128       0.0006032748
0.00000000000089000000       0.0031442281       -0.0025280192       0.0040171275       0.0003738152
0.00000000000090000000       0.0038553553       -0.0009631986       0.0039707354       0.0001574063
0.00000000000091000000       0.0038231752       0.0007388268       0.0038937075       -0.0000396866
0.00000000000092000000       0.0030686137       0.0022389931       0.0037926023       -0.0002136553
0.00000000000093000000       0.0017604929       0.0032448516       0.0036737859       -0.0003628971
0.00000000000094000000       0.0001781666       0.0035717264       0.0035427917       -0.0004874419
0.00000000000095000000       -0.0013493577       0.0031800866       0.0034040615       -0.0005882873
0.00000000000096000000       -0.0025143006       0.0021810805       0.0032610066       -0.0006668249
0.00000000000097000000       -0.0030953139       0.0008092976       0.0031162616       -0.0007244613
0.00000000000098000000       -0.0030026892       -0.0006308594       0.0029719996       -0.0007624597
0.00000000000099000000       -0.0022938434       -0.0018329677       0.0028301971       -0.0007819668
0.00000000000100000000       -0.0011561097       -0.0025552662       0.0026927838       -0.0007841497
0.00000000000200000000       -0.0042910802       0.0022318109       0.0047436237       -0.0009446603
0.00000000000300000000       0.0001048656       0.0023940128       0.0022246819       0.0008905529
0.00000000000400000000       0.0049637978       -0.0028835674       0.0057360357       0.0002283497
0.00000000000500000000       -0.0014573867       -0.0008370437       0.0015833944       -0.0005634540
0.00000000000600000000       -0.0040150148       0.0039860973       0.0056448673       0.0003805106
0.00000000000700000000       0.0010838491       0.0018692692       0.0019311886       0.0009692301
0.00000000000800000000       -0.0008734065       -0.0048097063       0.0039833274       -0.0028335873
0.00000000000900000000       -0.0007429976       -0.0017302874       0.0012170727       0.0014368973
0.00000000001000000000       0.0005474052       0.0037929835       0.0036622750       -0.0011287684
0.00000000001100000000       0.0016721082       -0.0000883919       0.0016706923       -0.0001120101
0.00000000001200000000       -0.0013244682       -0.0019793829       0.0021316059       -0.0010622754
0.00000000001300000000       -0.0014218569       0.0000492661       0.0013838493       0.0003302501
