# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
7.400000      0.241408      -0.000533      -0.353721      0.074942      0.361572      0.000799
7.500000      0.241511      -0.000514      -0.315913      0.176203      0.361729      0.000770
7.600000      0.241610      -0.000496      -0.249837      0.261801      0.361881      0.000742
7.700000      0.241706      -0.000478      -0.161376      0.324070      0.362026      0.000716
7.800000      0.241799      -0.000461      -0.058422      0.357425      0.362167      0.000691
7.900000      0.241888      -0.000445      0.049832      0.358860      0.362303      0.000667
8.000000      0.241975      -0.000430      0.153712      0.328225      0.362434      0.000644
8.100000      0.242058      -0.000415      0.243929      0.268234      0.362561      0.000622
8.200000      0.242139      -0.000401      0.312408      0.184230      0.362683      0.000601
8.300000      0.242217      -0.000388      0.353013      0.083707      0.362801      0.000581
8.400000      0.242292      -0.000375      0.362097      -0.024362      0.362916      0.000562
8.500000      0.242365      -0.000363      0.338829      -0.130320      0.363026      0.000544
8.600000      0.242436      -0.000351      0.285268      -0.224696      0.363133      0.000526
8.700000      0.242504      -0.000340      0.206183      -0.299048      0.363237      0.000509
8.800000      0.242570      -0.000329      0.108630      -0.346718      0.363337      0.000493
8.900000      0.242634      -0.000319      0.001317      -0.363432      0.363434      0.000478
9.000000      0.242696      -0.000309      -0.106171      -0.347679      0.363528      0.000463
9.100000      0.242756      -0.000300      -0.204226      -0.300851      0.363619      0.000449
9.200000      0.242815      -0.000290      -0.284081      -0.227116      0.363708      0.000435
9.300000      0.242871      -0.000282      -0.338590      -0.133052      0.363793      0.000422
9.400000      0.242926      -0.000273      -0.362869      -0.027056      0.363876      0.000409
9.500000      0.242980      -0.000265      -0.354737      0.081405      0.363957      0.000397
9.600000      0.243031      -0.000257      -0.314904      0.182640      0.364035      0.000385
9.700000      0.243082      -0.000250      -0.246917      0.267599      0.364111      0.000374
9.800000      0.243130      -0.000243      -0.156840      0.328682      0.364185      0.000363
9.900000      0.243178      -0.000236      -0.052714      0.360422      0.364257      0.000353
10.000000      0.243224      -0.000229      0.056163      0.359971      0.364326      0.000343
10.100000      0.243269      -0.000223      0.160063      0.327357      0.364394      0.000333
10.200000      0.243312      -0.000216      0.249700      0.265483      0.364460      0.000324
10.300000      0.243354      -0.000210      0.317058      0.179866      0.364524      0.000315
10.400000      0.243395      -0.000205      0.356112      0.078149      0.364586      0.000307
10.500000      0.243436      -0.000199      0.363362      -0.030584      0.364646      0.000298
10.600000      0.243474      -0.000194      0.338149      -0.136621      0.364705      0.000290
10.700000      0.243512      -0.000189      0.282716      -0.230485      0.364762      0.000282
10.800000      0.243549      -0.000184      0.202008      -0.303785      0.364818      0.000275
10.900000      0.243585      -0.000179      0.103226      -0.349966      0.364872      0.000268
11.000000      0.243620      -0.000174      -0.004806      -0.364894      0.364925      0.000261
11.100000      0.243654      -0.000170      -0.112441      -0.347225      0.364977      0.000254
11.200000      0.243688      -0.000165      -0.210059      -0.298529      0.365027      0.000248
11.300000      0.243720      -0.000161      -0.288937      -0.223149      0.365076      0.000241
11.400000      0.243752      -0.000157      -0.342022      -0.127813      0.365124      0.000235
11.500000      0.243782      -0.000153      -0.364564      -0.021033      0.365170      0.000229
11.600000      0.243812      -0.000149      -0.354541      0.087653      0.365215      0.000224
11.700000      0.243842      -0.000146      -0.312841      0.188535      0.365260      0.000218
11.800000      0.243870      -0.000142      -0.243181      0.272597      0.365303      0.000213
11.900000      0.243898      -0.000139      -0.151780      0.332325      0.365345      0.000208
12.000000      0.243926      -0.000135      -0.046798      0.362377      0.365386      0.000203
12.100000      0.243952      -0.000132      0.062388      0.360061      0.365426      0.000198
12.200000      0.243978      -0.000129      0.166025      0.325577      0.365465      0.000193
12.300000      0.244003      -0.000126      0.254850      0.262000      0.365503      0.000189
12.400000      0.244028      -0.000123      0.320927      0.175003      0.365541      0.000184
12.500000      0.244052      -0.000120      0.358345      0.072354      0.365577      0.000180
12.600000      0.244076      -0.000117      0.363758      -0.036779      0.365613      0.000176
12.700000      0.244099      -0.000115      0.336674      -0.142648      0.365647      0.000172
12.800000      0.244122      -0.000112      0.279508      -0.235792      0.365681      0.000168
12.900000      0.244144      -0.000110      0.197361      -0.307889      0.365715      0.000164
13.000000      0.244165      -0.000107      0.097568      -0.352493      0.365747      0.000161
13.100000      0.244186      -0.000105      -0.010959      -0.365615      0.365779      0.000157
13.200000      0.244207      -0.000103      -0.118526      -0.346076      0.365810      0.000154
13.300000      0.244227      -0.000100      -0.215522      -0.295617      0.365840      0.000150
13.400000      0.244247      -0.000098      -0.293281      -0.218740      0.365870      0.000147
13.500000      0.244266      -0.000096      -0.344851      -0.122310      0.365899      0.000144
13.600000      0.244285      -0.000094      -0.365623      -0.014939      0.365928      0.000141
13.700000      0.244304      -0.000092      -0.353734      0.093784      0.365955      0.000138
13.800000      0.244322      -0.000090      -0.310243      0.194145      0.365983      0.000135
13.900000      0.244339      -0.000088      -0.239031      0.277177      0.366009      0.000132
14.000000      0.244357      -0.000086      -0.146454      0.335460      0.366036      0.000129
14.100000      0.244374      -0.000085      -0.040781      0.363783      0.366061      0.000127
14.200000      0.244391      -0.000083      0.068550      0.359611      0.366086      0.000124
14.300000      0.244407      -0.000081      0.171772      0.323314      0.366111      0.000122
14.400000      0.244423      -0.000080      0.259662      0.258128      0.366135      0.000119
14.500000      0.244439      -0.000078      0.324368      0.169875      0.366159      0.000117
14.600000      0.244454      -0.000076      0.360105      0.066435      0.366182      0.000114
14.700000      0.244469      -0.000075      0.363677      -0.042952      0.366204      0.000112
14.800000      0.244484      -0.000073      0.334761      -0.148517      0.366226      0.000110
14.900000      0.244498      -0.000072      0.275936      -0.240826      0.366248      0.000108
15.000000      0.244512      -0.000071      0.192454      -0.311632      0.366270      0.000106
15.100000      0.244526      -0.000069      0.091771      -0.354608      0.366291      0.000104
15.200000      0.244540      -0.000068      -0.017123      -0.365911      0.366311      0.000102
15.300000      0.244553      -0.000067      -0.124498      -0.344527      0.366331      0.000100
15.400000      0.244566      -0.000065      -0.220764      -0.292363      0.366351      0.000098
15.500000      0.244579      -0.000064      -0.297319      -0.214077      0.366370      0.000096
15.600000      0.244592      -0.000063      -0.347321      -0.116658      0.366389      0.000094
15.700000      0.244604      -0.000062      -0.366302      -0.008808      0.366408      0.000092
15.800000      0.244617      -0.000061      -0.352562      0.099840      0.366426      0.000091
15.900000      0.244628      -0.000059      -0.307326      0.199579      0.366444      0.000089
16.000000      0.244640      -0.000058      -0.234632      0.281500      0.366462      0.000087
16.100000      0.244652      -0.000057      -0.140970      0.338281      0.366479      0.000086
16.200000      0.244663      -0.000056      -0.034707      0.364849      0.366496      0.000084
16.300000      0.244674      -0.000055      0.074666      0.358827      0.366513      0.000083
16.400000      0.244685      -0.000054      0.177380      0.320749      0.366529      0.000081
16.500000      0.244696      -0.000053      0.264257      0.254016      0.366545      0.000080
16.600000      0.244706      -0.000052      0.327535      0.164585      0.366561      0.000078
16.700000      0.244717      -0.000051      0.361559      0.060444      0.366577      0.000077
16.800000      0.244727      -0.000051      0.363288      -0.049106      0.366592      0.000076
16.900000      0.244737      -0.000050      0.332565      -0.154278      0.366607      0.000074
17.000000      0.244747      -0.000049      0.272130      -0.245676      0.366622      0.000073
17.100000      0.244756      -0.000048      0.187381      -0.315136      0.366636      0.000072
17.200000      0.244766      -0.000047      0.085887      -0.356449      0.366651      0.000071
17.300000      0.244775      -0.000046      -0.023288      -0.365924      0.366665      0.000069
17.400000      0.244784      -0.000046      -0.130390      -0.342712      0.366678      0.000068
17.500000      0.244793      -0.000045      -0.225853      -0.288883      0.366692      0.000067
17.600000      0.244802      -0.000044      -0.301147      -0.209244      0.366705      0.000066
17.700000      0.244811      -0.000043      -0.349545      -0.110908      0.366718      0.000065
17.800000      0.244819      -0.000043      -0.366721      -0.002657      0.366731      0.000064
17.900000      0.244828      -0.000042      -0.351140      0.105838      0.366744      0.000063
18.000000      0.244836      -0.000041      -0.304190      0.204887      0.366756      0.000062
18.100000      0.244844      -0.000041      -0.230064      0.285639      0.366768      0.000061
18.200000      0.244852      -0.000040      -0.135381      0.340881      0.366780      0.000060
18.300000      0.244860      -0.000039      -0.028598      0.365676      0.366792      0.000059
18.400000      0.244868      -0.000039      0.080746      0.357806      0.366804      0.000058
18.500000      0.244875      -0.000038      0.182884      0.317973      0.366815      0.000057
18.600000      0.244883      -0.000037      0.268691      0.249734      0.366827      0.000056
18.700000      0.244890      -0.000037      0.330502      0.159181      0.366838      0.000055
18.800000      0.244898      -0.000036      0.362792      0.054403      0.366849      0.000054
18.900000      0.244905      -0.000036      0.362677      -0.055240      0.366860      0.000053
