# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       0.0000437678       -0.0001441741       0.0010123652       -0.0001441741
0.0000000000       0.0000421397       -0.0001431204       0.0010107371       -0.0001431204
0.0000000000       0.0000405755       -0.0001420582       0.0010091730       -0.0001420582
0.0000000000       0.0000390747       -0.0001409901       0.0010076722       -0.0001409901
0.0000000000       0.0000376365       -0.0001399188       0.0010062340       -0.0001399188
0.0000000000       0.0000362600       -0.0001388470       0.0010048575       -0.0001388470
0.0000000000       0.0000349443       -0.0001377772       0.0010035417       -0.0001377772
0.0000000000       0.0000336882       -0.0001367120       0.0010022857       -0.0001367120
0.0000000000       0.0000324907       -0.0001356538       0.0010010881       -0.0001356538
0.0000000000       0.0000313504       -0.0001346050       0.0009999478       -0.0001346050
0.0000000000       0.0000302660       -0.0001335679       0.0009988634       -0.0001335679
0.0000000000       0.0000292360       -0.0001325447       0.0009978334       -0.0001325447
0.0000000000       0.0000282589       -0.0001315377       0.0009968563       -0.0001315377
0.0000000000       0.0000273331       -0.0001305488       0.0009959305       -0.0001305488
0.0000000000       0.0000264568       -0.0001295801       0.0009950543       -0.0001295801
0.0000000000       0.0000256283       -0.0001286334       0.0009942258       -0.0001286334
0.0000000000       0.0000248458       -0.0001277105       0.0009934433       -0.0001277105
0.0000000000       0.0000241073       -0.0001268132       0.0009927048       -0.0001268132
0.0000000000       0.0000234109       -0.0001259431       0.0009920084       -0.0001259431
0.0000000000       0.0000227545       -0.0001251016       0.0009913520       -0.0001251016
0.0000000000       0.0000221361       -0.0001242902       0.0009907335       -0.0001242902
0.0000000000       0.0000215534       -0.0001235102       0.0009901509       -0.0001235102
0.0000000000       0.0000210044       -0.0001227627       0.0009896019       -0.0001227627
0.0000000000       0.0000204869       -0.0001220489       0.0009890844       -0.0001220489
0.0000000000       0.0000199986       -0.0001213696       0.0009885960       -0.0001213696
0.0000000000       0.0000195371       -0.0001207259       0.0009881346       -0.0001207259
0.0000000000       0.0000191004       -0.0001201184       0.0009876978       -0.0001201184
0.0000000000       0.0000186859       -0.0001195479       0.0009872833       -0.0001195479
0.0000000000       0.0000182914       -0.0001190148       0.0009868889       -0.0001190148
0.0000000000       0.0000179146       -0.0001185195       0.0009865120       -0.0001185195
0.0000000000       0.0000175531       -0.0001180625       0.0009861505       -0.0001180625
0.0000000000       0.0000172046       -0.0001176438       0.0009858020       -0.0001176438
0.0000000000       0.0000168667       -0.0001172636       0.0009854642       -0.0001172636
0.0000000000       0.0000165372       -0.0001169219       0.0009851347       -0.0001169219
0.0000000000       0.0000162137       -0.0001166186       0.0009848112       -0.0001166186
0.0000000000       0.0000158940       -0.0001163533       0.0009844915       -0.0001163533
0.0000000000       0.0000155758       -0.0001161259       0.0009841733       -0.0001161259
0.0000000000       0.0000152569       -0.0001159359       0.0009838543       -0.0001159359
0.0000000000       0.0000149350       -0.0001157827       0.0009835325       -0.0001157827
0.0000000000       0.0000146081       -0.0001156656       0.0009832056       -0.0001156656
0.0000000000       0.0000142741       -0.0001155840       0.0009828715       -0.0001155840
0.0000000000       0.0000139308       -0.0001155371       0.0009825282       -0.0001155371
0.0000000000       0.0000135762       -0.0001155238       0.0009821737       -0.0001155238
0.0000000000       0.0000132085       -0.0001155432       0.0009818060       -0.0001155432
0.0000000000       0.0000128257       -0.0001155942       0.0009814231       -0.0001155942
0.0000000000       0.0000124260       -0.0001156756       0.0009810234       -0.0001156756
0.0000000000       0.0000120075       -0.0001157861       0.0009806050       -0.0001157861
0.0000000000       0.0000115688       -0.0001159244       0.0009801662       -0.0001159244
0.0000000000       0.0000111080       -0.0001160890       0.0009797054       -0.0001160890
0.0000000000       0.0000106237       -0.0001162785       0.0009792211       -0.0001162785
0.0000000000       0.0000101144       -0.0001164914       0.0009787118       -0.0001164914
0.0000000000       0.0000095786       -0.0001167259       0.0009781761       -0.0001167259
0.0000000000       0.0000090153       -0.0001169804       0.0009776127       -0.0001169804
0.0000000000       0.0000084230       -0.0001172532       0.0009770204       -0.0001172532
0.0000000000       0.0000078007       -0.0001175425       0.0009763981       -0.0001175425
0.0000000000       0.0000071473       -0.0001178465       0.0009757448       -0.0001178465
0.0000000000       0.0000064619       -0.0001181633       0.0009750594       -0.0001181633
0.0000000000       0.0000057437       -0.0001184909       0.0009743412       -0.0001184909
0.0000000000       0.0000049920       -0.0001188274       0.0009735894       -0.0001188274
0.0000000000       0.0000042059       -0.0001191709       0.0009728034       -0.0001191709
0.0000000000       0.0000033851       -0.0001195194       0.0009719826       -0.0001195194
0.0000000000       0.0000025291       -0.0001198707       0.0009711265       -0.0001198707
0.0000000000       0.0000016374       -0.0001202230       0.0009702349       -0.0001202230
0.0000000000       0.0000007099       -0.0001205741       0.0009693073       -0.0001205741
0.0000000000       -0.0000002537       -0.0001209220       0.0009683438       -0.0001209220
0.0000000000       -0.0000012533       -0.0001212646       0.0009673441       -0.0001212646
0.0000000000       -0.0000022890       -0.0001215998       0.0009663084       -0.0001215998
0.0000000000       -0.0000033606       -0.0001219257       0.0009652369       -0.0001219257
0.0000000000       -0.0000044678       -0.0001222402       0.0009641296       -0.0001222402
0.0000000000       -0.0000056104       -0.0001225413       0.0009629871       -0.0001225413
0.0000000000       -0.0000067879       -0.0001228270       0.0009618096       -0.0001228270
0.0000000000       -0.0000079997       -0.0001230952       0.0009605978       -0.0001230952
0.0000000000       -0.0000092452       -0.0001233441       0.0009593522       -0.0001233441
0.0000000000       -0.0000105238       -0.0001235718       0.0009580737       -0.0001235718
0.0000000000       -0.0000118346       -0.0001237763       0.0009567629       -0.0001237763
0.0000000000       -0.0000131767       -0.0001239558       0.0009554207       -0.0001239558
0.0000000000       -0.0000145492       -0.0001241086       0.0009540483       -0.0001241086
0.0000000000       -0.0000159510       -0.0001242329       0.0009526465       -0.0001242329
0.0000000000       -0.0000173809       -0.0001243270       0.0009512166       -0.0001243270
0.0000000000       -0.0000188377       -0.0001243893       0.0009497598       -0.0001243893
0.0000000000       -0.0000203201       -0.0001244182       0.0009482774       -0.0001244182
0.0000000000       -0.0000218268       -0.0001244123       0.0009467707       -0.0001244123
0.0000000000       -0.0000233562       -0.0001243700       0.0009452412       -0.0001243700
0.0000000000       -0.0000249070       -0.0001242900       0.0009436905       -0.0001242900
0.0000000000       -0.0000264775       -0.0001241710       0.0009421200       -0.0001241710
0.0000000000       -0.0000280660       -0.0001240118       0.0009405315       -0.0001240118
0.0000000000       -0.0000296709       -0.0001238113       0.0009389265       -0.0001238113
0.0000000000       -0.0000312905       -0.0001235683       0.0009373070       -0.0001235683
0.0000000000       -0.0000329229       -0.0001232818       0.0009356745       -0.0001232818
