# Temperature (K)   WidthQM_E17(eV)   FreqShiftQM_E17(eV)
1.000000     0.047560     2.193124
2.000000     0.047560     2.193124
10.000000     0.047560     2.193124
200.000000     0.099256     2.186921
300.000000     0.122002     2.186921
