# Temperature (K)   WidthCL(eV)   FreqShiftCL(eV)
1.000000     0.001654     2.156016
2.000000     0.001654     2.156016
10.000000     0.001654     2.156016
200.000000     0.001654     2.156016
300.000000     0.001654     2.156016
