# time   C_FQM_Re    C_FQM_Im    C_FQM_Re_erf    C_FQM_Im_erf 
11.300000       -0.192989       0.148844       -0.192989      0.148844 
11.400000       -0.228384       0.085179       -0.228384      0.085179 
11.500000       -0.243386       0.013888       -0.243386      0.013888 
11.600000       -0.236650       -0.058661       -0.236650      -0.058661 
11.700000       -0.208772       -0.125988       -0.208772      -0.125988 
11.800000       -0.162238       -0.182076       -0.162238      -0.182076 
11.900000       -0.101200       -0.221912       -0.101200      -0.221912 
12.000000       -0.031107       -0.241934       -0.031107      -0.241934 
12.100000       0.041780       -0.240348       0.041780      -0.240348 
12.200000       0.110950       -0.217291       0.110950      -0.217291 
12.300000       0.170224       -0.174818       0.170224      -0.174818 
12.400000       0.214303       -0.116720       0.214303      -0.116720 
12.500000       0.239248       -0.048184       0.239248      -0.048184 
12.600000       0.242826       0.024670       0.242826      0.024670 
12.700000       0.224712       0.095334       0.224712      0.095334 
12.800000       0.186522       0.157496       0.186522      0.157496 
12.900000       0.131662       0.205600       0.131662      0.205600 
13.000000       0.065031       0.235346       0.065031      0.235346 
13.100000       -0.007421       0.244073       -0.007421      0.244073 
13.200000       -0.079222       0.230999       -0.079222      0.230999 
13.300000       -0.143959       0.197288       -0.143959      0.197288 
13.400000       -0.195846       0.145947       -0.195846      0.145947 
13.500000       -0.230247       0.081561       -0.230247      0.081561 
13.600000       -0.244085       0.009879       -0.244085      0.009879 
13.700000       -0.236121       -0.062697       -0.236121      -0.062697 
13.800000       -0.207063       -0.129683       -0.207063      -0.129683 
13.900000       -0.159504       -0.185095       -0.159504      -0.185095 
14.000000       -0.097690       -0.223979       -0.097690      -0.223979 
14.100000       -0.027140       -0.242862       -0.027140      -0.242862 
14.200000       0.045844       -0.240052       0.045844      -0.240052 
14.300000       0.114742       -0.215798       0.114742      -0.215798 
14.400000       0.173400       -0.172264       0.173400      -0.172264 
14.500000       0.216576       -0.113335       0.216576      -0.113335 
14.600000       0.240411       -0.044275       0.240411      -0.044275 
14.700000       0.242772       0.028748       0.242772      0.028748 
14.800000       0.223448       0.099213       0.223448      0.099213 
14.900000       0.184160       0.160823       0.184160      0.160823 
15.000000       0.128418       0.208075       0.128418      0.208075 
15.100000       0.061197       0.236744       0.061197      0.236744 
15.200000       -0.011498       0.244269       -0.011498      0.244269 
15.300000       -0.083174       0.229974       -0.083174      0.229974 
15.400000       -0.147428       0.195135       -0.147428      0.195135 
15.500000       -0.198519       0.142860       -0.198519      0.142860 
15.600000       -0.231882       0.077818       -0.231882      0.077818 
15.700000       -0.244535       0.005818       -0.244535      0.005818 
15.800000       -0.235345       -0.066709       -0.235345      -0.066709 
15.900000       -0.205130       -0.133284       -0.205130      -0.133284 
16.000000       -0.156589       -0.187959       -0.156589      -0.187959 
16.100000       -0.094055       -0.225849       -0.094055      -0.225849 
16.200000       -0.023113       -0.243568       -0.023113      -0.243568 
16.300000       0.049899       -0.239531       0.049899      -0.239531 
16.400000       0.118461       -0.214097       0.118461      -0.214097 
16.500000       0.176447       -0.169535       0.176447      -0.169535 
16.600000       0.218676       -0.109825       0.218676      -0.109825 
16.700000       0.241375       -0.040300       0.241375      -0.040300 
16.800000       0.242514       0.032832       0.242514      0.032832 
16.900000       0.221990       0.103036       0.221990      0.103036 
17.000000       0.181634       0.164043       0.181634      0.164043 
17.100000       0.125049       0.210400       0.125049      0.210400 
17.200000       0.057290       0.237966       0.057290      0.237966 
17.300000       -0.015592       0.244278       -0.015592      0.244278 
17.400000       -0.087087       0.228768       -0.087087      0.228768 
17.500000       -0.150808       0.192822       -0.150808      0.192822 
17.600000       -0.201062       0.139649       -0.201062      0.139649 
17.700000       -0.233359       0.073998       -0.233359      0.073998 
17.800000       -0.244813       0.001731       -0.244813      0.001731 
17.900000       -0.234399       -0.070695       -0.234399      -0.070695 
18.000000       -0.203045       -0.136811       -0.203045      -0.136811 
18.100000       -0.153552       -0.190710       -0.153552      -0.190710 
18.200000       -0.090339       -0.227577       -0.090339      -0.227577 
18.300000       -0.019052       -0.244117       -0.019052      -0.244117 
18.400000       0.053941       -0.238852       0.053941      -0.238852 
18.500000       0.122121       -0.212251       0.122121      -0.212251 
18.600000       0.179396       -0.166687       0.179396      -0.166687 
18.700000       0.220649       -0.106231       0.220649      -0.106231 
18.800000       0.242195       -0.036282       0.242195      -0.036282 
18.900000       0.242107       0.036912       0.242107      0.036912 
19.000000       0.220392       0.106813       0.220392      0.106813 
19.100000       0.178989       0.167177       0.178989      0.167177 
19.200000       0.121594       0.212611       0.121594      0.212611 
19.300000       0.053335       0.239055       0.053335      0.239055 
19.400000       -0.019692       0.244146       -0.019692      0.244146 
19.500000       -0.090965       0.227428       -0.090965      0.227428 
19.600000       -0.154115       0.190394       -0.154115      0.190394 
19.700000       -0.203502       0.136350       -0.203502      0.136350 
19.800000       -0.234713       0.070124       -0.234713      0.070124 
19.900000       -0.244959       -0.002370       -0.244959      -0.002370 
20.000000       -0.233324       -0.074655       -0.233324      -0.074655 
20.100000       -0.200846       -0.140276       -0.200846      -0.140276 
20.200000       -0.150425       -0.193369       -0.150425      -0.193369 
20.300000       -0.086565       -0.229191       -0.086565      -0.229191 
20.400000       -0.014969       -0.244542       -0.014969      -0.244542 
20.500000       0.057967       -0.238049       0.057967      -0.238049 
20.600000       0.125729       -0.210292       0.125729      -0.210292 
20.700000       0.182263       -0.163748       0.182263      -0.163748 
20.800000       0.222518       -0.102575       0.222518      -0.102575 
20.900000       0.242897       -0.032237       0.242897      -0.032237 
21.000000       0.241581       0.040985       0.241581      0.040985 
21.100000       0.218684       0.110548       0.218684      0.110548 
21.200000       0.176252       0.170239       0.176252      0.170239 
