# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       0.0000448573       -0.0001396860       0.0010661888       -0.0001396860
0.0000000000       0.0000434130       -0.0001385168       0.0010647445       -0.0001385168
0.0000000000       0.0000420391       -0.0001373452       0.0010633706       -0.0001373452
0.0000000000       0.0000407348       -0.0001361744       0.0010620663       -0.0001361744
0.0000000000       0.0000394990       -0.0001350072       0.0010608305       -0.0001350072
0.0000000000       0.0000383307       -0.0001338467       0.0010596623       -0.0001338467
0.0000000000       0.0000372287       -0.0001326955       0.0010585602       -0.0001326955
0.0000000000       0.0000361915       -0.0001315566       0.0010575230       -0.0001315566
0.0000000000       0.0000352177       -0.0001304326       0.0010565492       -0.0001304326
0.0000000000       0.0000343057       -0.0001293261       0.0010556372       -0.0001293261
0.0000000000       0.0000334540       -0.0001282396       0.0010547855       -0.0001282396
0.0000000000       0.0000326606       -0.0001271756       0.0010539921       -0.0001271756
0.0000000000       0.0000319238       -0.0001261364       0.0010532553       -0.0001261364
0.0000000000       0.0000312415       -0.0001251242       0.0010525730       -0.0001251242
0.0000000000       0.0000306118       -0.0001241413       0.0010519433       -0.0001241413
0.0000000000       0.0000300325       -0.0001231895       0.0010513640       -0.0001231895
0.0000000000       0.0000295014       -0.0001222709       0.0010508329       -0.0001222709
0.0000000000       0.0000290163       -0.0001213874       0.0010503478       -0.0001213874
0.0000000000       0.0000285748       -0.0001205405       0.0010499063       -0.0001205405
0.0000000000       0.0000281745       -0.0001197319       0.0010495060       -0.0001197319
0.0000000000       0.0000278129       -0.0001189631       0.0010491445       -0.0001189631
0.0000000000       0.0000274877       -0.0001182354       0.0010488192       -0.0001182354
0.0000000000       0.0000271961       -0.0001175500       0.0010485276       -0.0001175500
0.0000000000       0.0000269356       -0.0001169082       0.0010482671       -0.0001169082
0.0000000000       0.0000267036       -0.0001163108       0.0010480351       -0.0001163108
0.0000000000       0.0000264975       -0.0001157587       0.0010478290       -0.0001157587
0.0000000000       0.0000263145       -0.0001152528       0.0010476460       -0.0001152528
0.0000000000       0.0000261519       -0.0001147935       0.0010474835       -0.0001147935
