# FQM_w,     FQM_I,     DCL_I,     ACL_I
-20.000000       -0.000259       0.006393       -0.000138
-19.990000       -0.000259       0.002325       -0.000139
-19.980000       -0.000258       -0.001952       -0.000139
-19.970000       -0.000257       -0.006057       -0.000139
-19.960000       -0.000256       -0.009623       -0.000139
-19.950000       -0.000255       -0.012331       -0.000138
-19.940000       -0.000254       -0.013940       -0.000137
-19.930000       -0.000252       -0.014305       -0.000136
-19.920000       -0.000250       -0.013394       -0.000134
-19.910000       -0.000248       -0.011289       -0.000133
-19.900000       -0.000246       -0.008177       -0.000131
-19.890000       -0.000243       -0.004336       -0.000129
-19.880000       -0.000241       -0.000109       -0.000127
-19.870000       -0.000239       0.004127       -0.000125
-19.860000       -0.000237       0.007992       -0.000124
-19.850000       -0.000235       0.011143       -0.000122
-19.840000       -0.000234       0.013296       -0.000122
-19.830000       -0.000233       0.014260       -0.000121
-19.820000       -0.000232       0.013949       -0.000121
-19.810000       -0.000232       0.012390       -0.000121
-19.800000       -0.000231       0.009723       -0.000122
-19.790000       -0.000231       0.006185       -0.000122
-19.780000       -0.000231       0.002092       -0.000122
-19.770000       -0.000230       -0.002189       -0.000123
-19.760000       -0.000230       -0.006277       -0.000123
-19.750000       -0.000229       -0.009806       -0.000123
-19.740000       -0.000228       -0.012461       -0.000122
-19.730000       -0.000227       -0.014004       -0.000121
-19.720000       -0.000225       -0.014299       -0.000120
-19.710000       -0.000223       -0.013317       -0.000119
-19.700000       -0.000221       -0.011148       -0.000117
-19.690000       -0.000219       -0.007984       -0.000115
-19.680000       -0.000217       -0.004107       -0.000113
-19.670000       -0.000215       0.000135       -0.000112
-19.660000       -0.000213       0.004365       -0.000110
-19.650000       -0.000211       0.008203       -0.000108
-19.640000       -0.000210       0.011308       -0.000107
-19.630000       -0.000208       0.013402       -0.000107
-19.620000       -0.000208       0.014297       -0.000106
-19.610000       -0.000207       0.013914       -0.000106
-19.600000       -0.000207       0.012287       -0.000107
-19.590000       -0.000206       0.009560       -0.000107
-19.580000       -0.000206       0.005978       -0.000108
-19.570000       -0.000206       0.001859       -0.000108
-19.560000       -0.000206       -0.002427       -0.000109
-19.550000       -0.000205       -0.006499       -0.000109
-19.540000       -0.000205       -0.009992       -0.000109
-19.530000       -0.000204       -0.012595       -0.000108
-19.520000       -0.000203       -0.014073       -0.000107
-19.510000       -0.000201       -0.014297       -0.000106
-19.500000       -0.000199       -0.013244       -0.000105
-19.490000       -0.000197       -0.011010       -0.000103
-19.480000       -0.000195       -0.007792       -0.000102
-19.470000       -0.000193       -0.003879       -0.000100
-19.460000       -0.000191       0.000379       -0.000098
-19.450000       -0.000190       0.004604       -0.000096
-19.440000       -0.000188       0.008417       -0.000095
-19.430000       -0.000187       0.011477       -0.000094
-19.420000       -0.000186       0.013511       -0.000094
-19.410000       -0.000185       0.014338       -0.000093
-19.400000       -0.000184       0.013883       -0.000093
-19.390000       -0.000184       0.012186       -0.000094
-19.380000       -0.000184       0.009399       -0.000094
-19.370000       -0.000184       0.005771       -0.000095
-19.360000       -0.000184       0.001625       -0.000096
-19.350000       -0.000184       -0.002668       -0.000096
-19.340000       -0.000183       -0.006724       -0.000096
-19.330000       -0.000183       -0.010182       -0.000096
-19.320000       -0.000182       -0.012732       -0.000096
-19.310000       -0.000181       -0.014147       -0.000095
-19.300000       -0.000180       -0.014298       -0.000094
-19.290000       -0.000178       -0.013174       -0.000093
-19.280000       -0.000176       -0.010874       -0.000091
-19.270000       -0.000174       -0.007602       -0.000089
-19.260000       -0.000172       -0.003652       -0.000088
-19.250000       -0.000170       0.000624       -0.000086
-19.240000       -0.000169       0.004845       -0.000085
-19.230000       -0.000167       0.008632       -0.000083
-19.220000       -0.000166       0.011649       -0.000082
-19.210000       -0.000165       0.013624       -0.000082
-19.200000       -0.000164       0.014382       -0.000082
-19.190000       -0.000164       0.013854       -0.000082
-19.180000       -0.000164       0.012087       -0.000082
-19.170000       -0.000164       0.009239       -0.000083
-19.160000       -0.000164       0.005564       -0.000084
-19.150000       -0.000164       0.001390       -0.000084
-19.140000       -0.000164       -0.002910       -0.000085
-19.130000       -0.000164       -0.006952       -0.000085
-19.120000       -0.000163       -0.010376       -0.000085
-19.110000       -0.000163       -0.012874       -0.000085
-19.100000       -0.000162       -0.014223       -0.000084
-19.090000       -0.000160       -0.014304       -0.000083
-19.080000       -0.000159       -0.013107       -0.000082
-19.070000       -0.000157       -0.010740       -0.000080
-19.060000       -0.000155       -0.007414       -0.000079
-19.050000       -0.000153       -0.003425       -0.000077
-19.040000       -0.000152       0.000870       -0.000075
-19.030000       -0.000150       0.005087       -0.000074
-19.020000       -0.000149       0.008850       -0.000073
-19.010000       -0.000148       0.011823       -0.000072
-19.000000       -0.000147       0.013740       -0.000072
-18.990000       -0.000146       0.014428       -0.000072
-18.980000       -0.000146       0.013827       -0.000072
-18.970000       -0.000146       0.011990       -0.000072
-18.960000       -0.000146       0.009080       -0.000073
-18.950000       -0.000146       0.005357       -0.000074
-18.940000       -0.000146       0.001154       -0.000075
-18.930000       -0.000146       -0.003155       -0.000075
-18.920000       -0.000146       -0.007183       -0.000076
-18.910000       -0.000146       -0.010573       -0.000076
-18.900000       -0.000145       -0.013019       -0.000075
-18.890000       -0.000144       -0.014304       -0.000075
-18.880000       -0.000143       -0.014312       -0.000074
-18.870000       -0.000142       -0.013042       -0.000072
-18.860000       -0.000140       -0.010608       -0.000071
-18.850000       -0.000138       -0.007225       -0.000069
-18.840000       -0.000137       -0.003197       -0.000068
-18.830000       -0.000135       0.001117       -0.000066
-18.820000       -0.000133       0.005332       -0.000065
-18.810000       -0.000132       0.009072       -0.000064
-18.800000       -0.000131       0.012001       -0.000063
-18.790000       -0.000130       0.013859       -0.000063
-18.780000       -0.000130       0.014478       -0.000063
-18.770000       -0.000130       0.013803       -0.000063
-18.760000       -0.000130       0.011894       -0.000064
-18.750000       -0.000130       0.008921       -0.000064
-18.740000       -0.000130       0.005150       -0.000065
-18.730000       -0.000131       0.000916       -0.000066
-18.720000       -0.000131       -0.003402       -0.000067
-18.710000       -0.000131       -0.007418       -0.000067
-18.700000       -0.000130       -0.010773       -0.000067
-18.690000       -0.000130       -0.013168       -0.000067
-18.680000       -0.000129       -0.014388       -0.000066
-18.670000       -0.000128       -0.014323       -0.000065
-18.660000       -0.000126       -0.012980       -0.000064
-18.650000       -0.000125       -0.010477       -0.000063
-18.640000       -0.000123       -0.007038       -0.000061
-18.630000       -0.000121       -0.002969       -0.000059
-18.620000       -0.000120       0.001366       -0.000058
-18.610000       -0.000118       0.005579       -0.000057
-18.600000       -0.000117       0.009295       -0.000056
-18.590000       -0.000116       0.012182       -0.000055
-18.580000       -0.000116       0.013980       -0.000055
-18.570000       -0.000115       0.014530       -0.000055
-18.560000       -0.000115       0.013781       -0.000055
-18.550000       -0.000116       0.011800       -0.000056
-18.540000       -0.000116       0.008763       -0.000057
-18.530000       -0.000116       0.004942       -0.000057
-18.520000       -0.000117       0.000677       -0.000058
-18.510000       -0.000117       -0.003651       -0.000059
-18.500000       -0.000117       -0.007655       -0.000059
-18.490000       -0.000117       -0.010977       -0.000059
-18.480000       -0.000116       -0.013320       -0.000059
-18.470000       -0.000115       -0.014475       -0.000059
-18.460000       -0.000114       -0.014337       -0.000058
-18.450000       -0.000113       -0.012919       -0.000056
-18.440000       -0.000111       -0.010347       -0.000055
-18.430000       -0.000110       -0.006850       -0.000054
-18.420000       -0.000108       -0.002740       -0.000052
-18.410000       -0.000106       0.001616       -0.000051
-18.400000       -0.000105       0.005829       -0.000049
-18.390000       -0.000104       0.009523       -0.000048
-18.380000       -0.000103       0.012366       -0.000048
-18.370000       -0.000103       0.014105       -0.000048
-18.360000       -0.000102       0.014585       -0.000048
-18.350000       -0.000103       0.013760       -0.000048
-18.340000       -0.000103       0.011706       -0.000049
-18.330000       -0.000103       0.008604       -0.000050
-18.320000       -0.000104       0.004732       -0.000051
-18.310000       -0.000104       0.000435       -0.000051
-18.300000       -0.000104       -0.003904       -0.000052
-18.290000       -0.000104       -0.007896       -0.000053
-18.280000       -0.000104       -0.011185       -0.000053
-18.270000       -0.000104       -0.013476       -0.000053
-18.260000       -0.000103       -0.014565       -0.000052
-18.250000       -0.000102       -0.014354       -0.000051
-18.240000       -0.000101       -0.012860       -0.000050
-18.230000       -0.000099       -0.010218       -0.000048
-18.220000       -0.000098       -0.006661       -0.000047
-18.210000       -0.000096       -0.002509       -0.000045
-18.200000       -0.000095       0.001869       -0.000044
-18.190000       -0.000093       0.006082       -0.000043
-18.180000       -0.000092       0.009753       -0.000042
-18.170000       -0.000091       0.012553       -0.000041
-18.160000       -0.000091       0.014233       -0.000041
-18.150000       -0.000091       0.014642       -0.000041
-18.140000       -0.000091       0.013742       -0.000042
-18.130000       -0.000091       0.011613       -0.000043
-18.120000       -0.000092       0.008445       -0.000044
-18.110000       -0.000092       0.004521       -0.000045
-18.100000       -0.000093       0.000191       -0.000045
-18.090000       -0.000093       -0.004159       -0.000046
-18.080000       -0.000093       -0.008140       -0.000047
-18.070000       -0.000093       -0.011396       -0.000047
-18.060000       -0.000093       -0.013635       -0.000047
-18.050000       -0.000092       -0.014658       -0.000046
-18.040000       -0.000091       -0.014372       -0.000045
-18.030000       -0.000090       -0.012803       -0.000044
-18.020000       -0.000088       -0.010088       -0.000043
-18.010000       -0.000087       -0.006472       -0.000041
-18.000000       -0.000085       -0.002276       -0.000040
-17.990000       -0.000084       0.002125       -0.000038
-17.980000       -0.000083       0.006338       -0.000037
-17.970000       -0.000082       0.009986       -0.000036
-17.960000       -0.000081       0.012744       -0.000036
-17.950000       -0.000081       0.014364       -0.000036
-17.940000       -0.000081       0.014701       -0.000036
-17.930000       -0.000081       0.013724       -0.000037
-17.920000       -0.000081       0.011520       -0.000037
-17.910000       -0.000082       0.008286       -0.000038
-17.900000       -0.000082       0.004309       -0.000039
-17.890000       -0.000083       -0.000056       -0.000040
-17.880000       -0.000083       -0.004418       -0.000041
-17.870000       -0.000083       -0.008387       -0.000042
-17.860000       -0.000083       -0.011610       -0.000042
-17.850000       -0.000083       -0.013798       -0.000042
-17.840000       -0.000082       -0.014754       -0.000041
-17.830000       -0.000081       -0.014393       -0.000040
-17.820000       -0.000080       -0.012746       -0.000039
-17.810000       -0.000079       -0.009959       -0.000038
-17.800000       -0.000077       -0.006282       -0.000036
-17.790000       -0.000076       -0.002042       -0.000035
-17.780000       -0.000074       0.002383       -0.000033
-17.770000       -0.000073       0.006597       -0.000032
-17.760000       -0.000072       0.010223       -0.000031
-17.750000       -0.000072       0.012938       -0.000031
-17.740000       -0.000071       0.014498       -0.000031
-17.730000       -0.000071       0.014762       -0.000031
-17.720000       -0.000072       0.013708       -0.000032
-17.710000       -0.000072       0.011428       -0.000033
-17.700000       -0.000073       0.008125       -0.000034
-17.690000       -0.000073       0.004094       -0.000035
-17.680000       -0.000074       -0.000305       -0.000036
-17.670000       -0.000074       -0.004680       -0.000036
-17.660000       -0.000075       -0.008639       -0.000037
-17.650000       -0.000074       -0.011829       -0.000037
-17.640000       -0.000074       -0.013964       -0.000037
-17.630000       -0.000073       -0.014853       -0.000036
-17.620000       -0.000072       -0.014415       -0.000035
-17.610000       -0.000071       -0.012690       -0.000034
-17.600000       -0.000070       -0.009830       -0.000033
-17.590000       -0.000069       -0.006090       -0.000031
-17.580000       -0.000067       -0.001805       -0.000030
-17.570000       -0.000066       0.002645       -0.000029
-17.560000       -0.000065       0.006860       -0.000028
-17.550000       -0.000064       0.010464       -0.000027
-17.540000       -0.000063       0.013135       -0.000027
-17.530000       -0.000063       0.014634       -0.000026
-17.520000       -0.000063       0.014826       -0.000027
-17.510000       -0.000064       0.013693       -0.000027
-17.500000       -0.000064       0.011335       -0.000028
-17.490000       -0.000065       0.007963       -0.000029
-17.480000       -0.000065       0.003878       -0.000030
-17.470000       -0.000066       -0.000557       -0.000031
-17.460000       -0.000066       -0.004945       -0.000032
-17.450000       -0.000067       -0.008894       -0.000033
-17.440000       -0.000067       -0.012051       -0.000033
-17.430000       -0.000066       -0.014133       -0.000033
-17.420000       -0.000066       -0.014954       -0.000032
-17.410000       -0.000065       -0.014439       -0.000031
-17.400000       -0.000064       -0.012634       -0.000030
-17.390000       -0.000062       -0.009700       -0.000029
-17.380000       -0.000061       -0.005897       -0.000027
-17.370000       -0.000060       -0.001565       -0.000026
-17.360000       -0.000058       0.002909       -0.000025
-17.350000       -0.000057       0.007126       -0.000024
-17.340000       -0.000056       0.010708       -0.000023
-17.330000       -0.000056       0.013336       -0.000023
-17.320000       -0.000056       0.014773       -0.000023
-17.310000       -0.000056       0.014891       -0.000023
-17.300000       -0.000056       0.013678       -0.000024
-17.290000       -0.000057       0.011242       -0.000025
-17.280000       -0.000058       0.007800       -0.000026
-17.270000       -0.000058       0.003659       -0.000027
-17.260000       -0.000059       -0.000813       -0.000028
-17.250000       -0.000059       -0.005214       -0.000029
-17.240000       -0.000060       -0.009153       -0.000029
-17.230000       -0.000060       -0.012277       -0.000029
-17.220000       -0.000059       -0.014306       -0.000029
-17.210000       -0.000059       -0.015058       -0.000029
-17.200000       -0.000058       -0.014465       -0.000028
-17.190000       -0.000057       -0.012579       -0.000027
-17.180000       -0.000055       -0.009569       -0.000025
-17.170000       -0.000054       -0.005702       -0.000024
-17.160000       -0.000053       -0.001322       -0.000022
-17.150000       -0.000051       0.003177       -0.000021
-17.140000       -0.000050       0.007396       -0.000020
-17.130000       -0.000050       0.010957       -0.000020
-17.120000       -0.000049       0.013540       -0.000019
-17.110000       -0.000049       0.014915       -0.000019
-17.100000       -0.000049       0.014958       -0.000020
-17.090000       -0.000050       0.013665       -0.000020
-17.080000       -0.000050       0.011149       -0.000021
-17.070000       -0.000051       0.007635       -0.000023
-17.060000       -0.000052       0.003437       -0.000024
-17.050000       -0.000053       -0.001072       -0.000025
-17.040000       -0.000053       -0.005488       -0.000026
-17.030000       -0.000053       -0.009417       -0.000026
-17.020000       -0.000053       -0.012507       -0.000026
-17.010000       -0.000053       -0.014481       -0.000026
-17.000000       -0.000053       -0.015164       -0.000026
-16.990000       -0.000052       -0.014492       -0.000025
-16.980000       -0.000051       -0.012524       -0.000023
-16.970000       -0.000049       -0.009437       -0.000022
-16.960000       -0.000048       -0.005504       -0.000021
-16.950000       -0.000047       -0.001077       -0.000019
-16.940000       -0.000045       0.003449       -0.000018
-16.930000       -0.000044       0.007670       -0.000017
-16.920000       -0.000044       0.011209       -0.000016
-16.910000       -0.000043       0.013748       -0.000016
-16.900000       -0.000043       0.015060       -0.000016
-16.890000       -0.000044       0.015027       -0.000017
-16.880000       -0.000044       0.013651       -0.000017
-16.870000       -0.000045       0.011055       -0.000018
-16.860000       -0.000046       0.007468       -0.000020
-16.850000       -0.000046       0.003212       -0.000021
-16.840000       -0.000047       -0.001335       -0.000022
-16.830000       -0.000048       -0.005765       -0.000023
-16.820000       -0.000048       -0.009684       -0.000023
-16.810000       -0.000048       -0.012740       -0.000023
-16.800000       -0.000048       -0.014660       -0.000023
-16.790000       -0.000047       -0.015272       -0.000023
-16.780000       -0.000046       -0.014519       -0.000022
-16.770000       -0.000045       -0.012469       -0.000021
-16.760000       -0.000044       -0.009303       -0.000019
-16.750000       -0.000042       -0.005304       -0.000018
