# FQM_w,     FQM_I,     DCL_I,     ACL_I
-18.660000       -0.000151       -0.010125       -0.000102
-18.650000       -0.000148       -0.008176       -0.000099
-18.640000       -0.000146       -0.005498       -0.000097
-18.630000       -0.000143       -0.002330       -0.000094
-18.620000       -0.000141       0.001045       -0.000092
-18.610000       -0.000139       0.004326       -0.000090
-18.600000       -0.000138       0.007219       -0.000089
-18.590000       -0.000136       0.009466       -0.000088
-18.580000       -0.000136       0.010867       -0.000087
-18.570000       -0.000136       0.011295       -0.000087
-18.560000       -0.000136       0.010712       -0.000088
-18.550000       -0.000136       0.009169       -0.000089
-18.540000       -0.000137       0.006805       -0.000090
-18.530000       -0.000138       0.003830       -0.000092
-18.520000       -0.000139       0.000509       -0.000093
-18.510000       -0.000140       -0.002860       -0.000094
-18.500000       -0.000140       -0.005977       -0.000095
-18.490000       -0.000140       -0.008563       -0.000095
-18.480000       -0.000139       -0.010388       -0.000095
-18.470000       -0.000138       -0.011287       -0.000094
-18.460000       -0.000136       -0.011179       -0.000092
-18.450000       -0.000135       -0.010075       -0.000090
-18.440000       -0.000132       -0.008072       -0.000088
-18.430000       -0.000130       -0.005349       -0.000086
-18.420000       -0.000128       -0.002149       -0.000083
-18.410000       -0.000126       0.001243       -0.000081
-18.400000       -0.000124       0.004523       -0.000079
-18.390000       -0.000122       0.007398       -0.000078
-18.380000       -0.000121       0.009612       -0.000077
-18.370000       -0.000120       0.010967       -0.000076
-18.360000       -0.000120       0.011340       -0.000077
-18.350000       -0.000121       0.010698       -0.000077
-18.340000       -0.000121       0.009099       -0.000079
-18.330000       -0.000122       0.006684       -0.000080
-18.320000       -0.000123       0.003669       -0.000081
-18.310000       -0.000124       0.000324       -0.000083
-18.300000       -0.000125       -0.003054       -0.000084
-18.290000       -0.000125       -0.006162       -0.000085
-18.280000       -0.000125       -0.008723       -0.000085
-18.270000       -0.000125       -0.010507       -0.000084
-18.260000       -0.000124       -0.011354       -0.000084
-18.250000       -0.000122       -0.011190       -0.000082
-18.240000       -0.000120       -0.010027       -0.000080
-18.230000       -0.000118       -0.007969       -0.000078
-18.220000       -0.000116       -0.005200       -0.000076
-18.210000       -0.000114       -0.001967       -0.000073
-18.200000       -0.000111       0.001442       -0.000071
-18.190000       -0.000110       0.004722       -0.000069
-18.180000       -0.000108       0.007580       -0.000068
-18.170000       -0.000107       0.009760       -0.000067
-18.160000       -0.000107       0.011068       -0.000067
-18.150000       -0.000107       0.011387       -0.000067
-18.140000       -0.000107       0.010686       -0.000068
-18.130000       -0.000108       0.009029       -0.000069
-18.120000       -0.000109       0.006563       -0.000071
-18.110000       -0.000110       0.003507       -0.000072
-18.100000       -0.000111       0.000136       -0.000074
-18.090000       -0.000112       -0.003251       -0.000075
-18.080000       -0.000112       -0.006350       -0.000076
-18.070000       -0.000112       -0.008885       -0.000076
-18.060000       -0.000112       -0.010629       -0.000075
-18.050000       -0.000111       -0.011425       -0.000075
-18.040000       -0.000109       -0.011202       -0.000073
-18.030000       -0.000107       -0.009980       -0.000071
-18.020000       -0.000105       -0.007867       -0.000069
